Greek_Word	Ln_Decimal_Code	Total_Unique_References	Refs
Καϊνὰμ	93.207b	1	LUK 3:37!10
Καύσων	14.67	1	LUK 12:55!7
Καὶ	89.87	8	LUK 10:23!1; LUK 13:20!1; LUK 19:29!1; LUK 1:59!1; LUK 20:34!1; LUK 3:10!1; LUK 4:5!1; LUK 5:29!1
Καὶ	89.92	3	LUK 19:19!5; LUK 2:52!1; LUK 6:32!1
Καὶ	89.93	4	LUK 11:46!4; LUK 22:56!14; LUK 22:58!8; LUK 4:43!7
Καὶ	91.1	58	LUK 10:25!1; LUK 11:1!1; LUK 11:14!1; LUK 11:5!1; LUK 13:22!1; LUK 14:1!1; LUK 17:11!1; LUK 17:5!1; LUK 18:18!1; LUK 19:1!1; LUK 19:28!1; LUK 19:41!1; LUK 19:45!1; LUK 19:47!1; LUK 1:21!1; LUK 1:46!1; LUK 1:67!1; LUK 20:1!1; LUK 20:20!1; LUK 21:25!1; LUK 21:29!1; LUK 22:14!1; LUK 22:35!1; LUK 22:39!1; LUK 22:63!1; LUK 22:66!1; LUK 23:1!1; LUK 23:26!1; LUK 23:44!1; LUK 23:50!1; LUK 23:56!7; LUK 24:13!1; LUK 24:28!1; LUK 2:15!1; LUK 2:21!1; LUK 2:22!1; LUK 2:25!1; LUK 2:36!1; LUK 2:39!1; LUK 2:41!1; LUK 2:8!1; LUK 3:23!1; LUK 4:14!1; LUK 4:16!1; LUK 4:31!1; LUK 5:12!1; LUK 5:17!1; LUK 5:27!1; LUK 6:17!1; LUK 6:20!1; LUK 6:37!1; LUK 7:11!1; LUK 7:18!1; LUK 8:1!1; LUK 8:26!1; LUK 9:10!1; LUK 9:18!1; LUK 9:57!1
Καὶ	91.12	3	LUK 10:29!10; LUK 18:26!5; LUK 19:46!4
Κλεοπᾶς	93.215	1	LUK 24:18!5
Κρανίον	8.11	1	LUK 23:33!9
Κριτής	56.28	1	LUK 18:2!2
Κυρηνίου	93.223	1	LUK 2:2!8
Κυρηναῖον	93.511	1	LUK 23:26!8
Κωσὰμ	93.224	1	LUK 3:28!6
Κύριε	12.9	13	LUK 10:17!9; LUK 10:40!11; LUK 11:1!20; LUK 12:41!5; LUK 13:23!5; LUK 18:41!8; LUK 22:33!5; LUK 22:38!4; LUK 22:49!9; LUK 5:12!26; LUK 6:46!5; LUK 7:6!22; LUK 9:54!9
Κύριε	57.12	5	LUK 13:8!6; LUK 14:22!5; LUK 19:16!6; LUK 19:20!6; LUK 19:25!4
Κύριε	87.53	4	LUK 13:25!20; LUK 5:12!26; LUK 7:6!22; LUK 9:59!10
Κύριον	12.9	1	LUK 4:8!8
Κύριός	37.51	1	LUK 6:5!4
Κἀγὼ	89.92	1	LUK 11:9!1
Κἀγὼ	92.1	1	LUK 11:9!1
Κἀκεῖθεν	84.10	1	LUK 11:53!1
Λάβετε	18.1	1	LUK 22:17!6
Λάζαρον	93.225b	2	LUK 16:23!17; LUK 16:24!11
Λάζαρος	93.225b	2	LUK 16:20!5; LUK 16:25!16
Λάμεχ	93.226	1	LUK 3:36!10
Λέγει	33.69	1	LUK 22:11!7
Λέγω	33.69	5	LUK 12:4!1; LUK 12:8!1; LUK 19:40!4; LUK 22:34!4; LUK 7:9!15
Λίθον	2.24	1	LUK 20:17!12
Λεγιών	93.229	1	LUK 8:30!13
Λευίτης	53.91	1	LUK 10:32!4
Λευὶ	93.231c	1	LUK 3:24!4
Λευὶ	93.231d	1	LUK 3:29!10
Λευὶν	93.231a	1	LUK 5:27!9
Λευὶς	93.231a	1	LUK 5:29!5
Λευὶς	93.232	1	LUK 5:29!5
Λυσανίου	93.237	1	LUK 3:1!31
Λώτ	93.240	2	LUK 17:28!7; LUK 17:32!4
Λὼτ	93.240	1	LUK 17:29!5
Μάαθ	93.241	1	LUK 3:26!2
Μάρθα	93.252	4	LUK 10:38!15; LUK 10:40!3; LUK 10:41!7; LUK 10:41!8
Μή	69.3	1	LUK 11:7!5
Μήτηρ	10.16	1	LUK 8:21!7
Μήτι	69.16	1	LUK 6:39!6
Μαγδαληνή	93.242	1	LUK 8:2!15
Μαγδαληνὴ	93.242	1	LUK 24:10!4
Μαθθαῖον	93.244	1	LUK 6:15!2
Μαθθὰτ	93.245a	1	LUK 3:24!2
Μαθθὰτ	93.245b	1	LUK 3:29!8
Μαθουσαλὰ	93.247	1	LUK 3:37!2
Μακάριαι	25.119	1	LUK 23:29!8
Μακάριοί	25.119	1	LUK 6:22!1
Μακάριοι	25.119	2	LUK 10:23!9; LUK 6:20!12
Μακάριος	25.119	1	LUK 14:15!9
