Greek_Word	Ln_Decimal_Code	Total_Unique_References	Refs
θεραπευθῆναι	23.139	1	LUK 8:43!20
θεραπεύει	23.139	1	LUK 6:7!12
θεραπεύειν	23.139	1	LUK 9:1!16
θεραπεύεσθαι	23.139	1	LUK 5:15!14
θεραπεύεσθε	23.139	1	LUK 13:14!27
θεραπεύετε	23.139	1	LUK 10:9!2
θεραπεύοντες	23.139	1	LUK 9:6!9
θεραπεῦσαι	23.139	1	LUK 14:3!15
θερισμοῦ	43.15	1	LUK 10:2!18
θερισμὸν	43.15	1	LUK 10:2!24
θερισμὸς	43.15	1	LUK 10:2!7
θεωρήσαντες	24.14	1	LUK 23:48!10
θεωρίαν	24.15	1	LUK 23:48!8
θεωρεῖν	24.14	1	LUK 24:37!8
θεωρεῖτε	24.14	2	LUK 21:6!3; LUK 24:39!26
θεωροῦντες	24.14	1	LUK 14:29!12
θεωρῶν	24.14	1	LUK 23:35!5
θεόν	12.1	12	LUK 10:27!8; LUK 13:13!12; LUK 17:15!14; LUK 18:43!9; LUK 1:64!15; LUK 23:40!12; LUK 24:53!10; LUK 4:12!13; LUK 4:8!10; LUK 5:25!17; LUK 5:26!8; LUK 7:29!11
θεός	12.1	6	LUK 12:20!5; LUK 18:11!9; LUK 18:13!22; LUK 18:19!16; LUK 5:21!24; LUK 8:39!12
θεὶς	17.19	1	LUK 22:41!10
θεὸν	12.1	13	LUK 12:21!8; LUK 18:2!9; LUK 18:4!15; LUK 19:37!21; LUK 1:16!10; LUK 20:37!16; LUK 20:37!19; LUK 20:37!22; LUK 23:47!9; LUK 2:13!12; LUK 2:20!9; LUK 2:28!11; LUK 7:16!8
θεὸς	12.1	9	LUK 12:24!17; LUK 12:28!15; LUK 16:15!14; LUK 18:7!3; LUK 1:32!13; LUK 1:68!4; LUK 20:38!1; LUK 3:8!23; LUK 7:16!20
θεῖναι	85.32	1	LUK 5:18!16
θεῖον	2.26	1	LUK 17:29!11
θεῷ	12.1	10	LUK 16:13!25; LUK 17:18!7; LUK 18:27!11; LUK 18:43!18; LUK 1:30!14; LUK 1:47!8; LUK 20:25!16; LUK 2:14!4; LUK 2:38!8; LUK 2:52!10
θηλαζούσαις	23.8	1	LUK 21:23!8
θηρεῦσαί	27.30	1	LUK 11:54!3
θησαυρίζων	65.11	1	LUK 12:21!3
θησαυροῦ	7.32	1	LUK 6:45!7
θησαυρὸν	65.10	2	LUK 12:33!13; LUK 18:22!20
θησαυρὸς	65.10	1	LUK 12:34!5
θορυβάζῃ	25.234	1	LUK 10:41!11
θριξὶν	8.12	2	LUK 7:38!18; LUK 7:44!34
θρόμβοι	8.65	1	LUK 22:44!13
θρόνον	37.71	1	LUK 1:32!15
θρόνων	37.71	1	LUK 1:52!4
θρόνων	37.72	1	LUK 22:30!16
θρὶξ	8.12	1	LUK 21:18!2
θυγάτηρ	10.46	4	LUK 12:53!13; LUK 2:36!5; LUK 8:42!2; LUK 8:49!13
θυγατέρα	10.31	1	LUK 13:16!3
θυγατέρα	10.46	1	LUK 12:53!11
θυγατέρων	10.31	1	LUK 1:5!21
θυμιάματος	53.25	2	LUK 1:10!13; LUK 1:11!12
θυμιᾶσαι	53.25	1	LUK 1:9!8
θυμοῦ	88.178	1	LUK 4:28!4
θυσίαν	53.20	1	LUK 2:24!4
θυσιαστηρίου	6.114	2	LUK 11:51!11; LUK 1:11!10
θυσιῶν	53.20	1	LUK 13:1!20
θύεσθαι	20.72	1	LUK 22:7!9
θύρα	7.49	1	LUK 11:7!11
θύραν	7.49	2	LUK 13:25!10; LUK 13:25!18
θύρας	7.49	1	LUK 13:24!6
θύσατε	20.72	1	LUK 15:23!7
θῶ	85.32	1	LUK 20:43!3
κάλαμον	3.19	1	LUK 7:24!19
κάλει	33.315	1	LUK 14:13!5
κάμηλον	4.30	1	LUK 18:25!4
κάρφος	3.66	3	LUK 6:41!5; LUK 6:42!11; LUK 6:42!39
κάτω	84.26	1	LUK 4:9!24
κέκλεισται	79.112	1	LUK 11:7!12
κέκλικεν	67.118	1	LUK 24:29!13
κέκλικεν	68.51	1	LUK 24:29!13
κέρας	76.16	1	LUK 1:69!3
κήρυγμα	33.258	1	LUK 11:32!18
καί	89.87	1	LUK 19:39!1
καί	89.92	1	LUK 21:8!17
καθ	84.31	3	LUK 23:5!10; LUK 4:14!16; LUK 8:39!15
καθ	90.31	1	LUK 9:50!13
καθήμενοι	17.12	2	LUK 10:13!26; LUK 5:17!13
καθήμενον	17.12	3	LUK 22:56!6; LUK 5:27!10; LUK 8:35!13
καθήμενος	17.12	1	LUK 22:69!10
καθήσεσθε	17.12	1	LUK 22:30!14
καθίσας	17.12	4	LUK 14:28!10; LUK 14:31!11; LUK 16:6!16; LUK 5:3!17
καθίσατε	85.63	1	LUK 24:49!14
καθαρίζετε	79.49	1	LUK 11:39!18
καθαρίζονται	23.137	1	LUK 7:22!17
καθαρίσαι	23.137	1	LUK 5:12!31
καθαρίσθητι	23.137	1	LUK 5:13!9
καθαρισμοῦ	53.28	2	LUK 2:22!7; LUK 5:14!17
καθαρὰ	53.29	1	LUK 11:41!9
καθαρὰ	79.48	1	LUK 11:41!9
καθεζόμενον	17.12	1	LUK 2:46!11
καθελὼν	15.199	1	LUK 23:53!2
καθελῶ	20.54	1	LUK 12:18!5
καθεξῆς	61.1	2	LUK 1:3!7; LUK 8:1!5
καθεύδει	23.66	1	LUK 8:52!16
καθεύδετε	23.66	1	LUK 22:46!5
καθεῖλεν	15.199	1	LUK 1:52!1
καθημένοις	17.12	1	LUK 7:32!7
καθημένοις	85.63	1	LUK 1:79!8
καθημένους	85.63	1	LUK 21:35!8
καθωπλισμένος	55.1	1	LUK 11:21!4
καθότι	89.33	2	LUK 19:9!14; LUK 1:7!6
καθὼς	64.14	17	LUK 11:1!24; LUK 11:30!1; LUK 17:26!2; LUK 17:28!2; LUK 19:32!6; LUK 1:2!1; LUK 1:55!1; LUK 1:70!1; LUK 22:13!4; LUK 22:29!4; LUK 24:24!13; LUK 24:39!24; LUK 2:20!16; LUK 2:23!1; LUK 5:14!19; LUK 6:31!2; LUK 6:36!3
καθῆκαν	15.111	1	LUK 5:19!17
καινοὺς	58.71	1	LUK 5:38!6
καινοῦ	58.71	2	LUK 5:36!12; LUK 5:36!35
καινὴ	67.115	1	LUK 22:20!13
καινὸν	58.71	1	LUK 5:36!23
καιομένη	14.63	1	LUK 24:32!9
καιροὶ	67.1	1	LUK 21:24!20
καιροῦ	67.1	1	LUK 4:13!11
καιρὸν	67.1	2	LUK 19:44!23; LUK 1:20!25
καιρὸν	67.109	1	LUK 8:13!21
καιρὸν	67.145	1	LUK 12:56!13
καιρὸς	67.145	1	LUK 21:8!19
καιρῷ	67.1	5	LUK 12:42!24; LUK 13:1!7; LUK 20:10!2; LUK 21:36!5; LUK 8:13!25
καιρῷ	67.145	1	LUK 18:30!8
καιόμενοι	14.63	1	LUK 12:35!9
κακά	65.26	1	LUK 16:25!19
κακοποιῆσαι	88.112	1	LUK 6:9!15
κακούργους	88.114	1	LUK 23:33!15
κακούργων	88.114	1	LUK 23:39!5
κακοῦργοι	88.114	1	LUK 23:32!5
κακὸν	88.106	1	LUK 23:22!9
κακῶς	23.148	2	LUK 5:31!16; LUK 7:2!5
καλέσαι	33.307	1	LUK 5:32!3
καλέσας	33.307	1	LUK 19:13!1
καλέσας	33.315	2	LUK 14:9!7; LUK 7:39!6
καλέσεις	33.129	2	LUK 1:13!24; LUK 1:31!10
καλεῖ	33.131	1	LUK 20:44!5
καλεῖσθαι	33.129	1	LUK 1:62!10
καλεῖται	33.129	2	LUK 1:61!13; LUK 2:4!18
καλεῖτε	33.131	1	LUK 6:46!4
καλουμένη	33.129	2	LUK 10:39!5; LUK 8:2!14
καλουμένην	33.129	2	LUK 7:11!9; LUK 9:10!17
καλουμένῃ	33.131	1	LUK 1:36!21
καλούμενον	33.129	1	LUK 22:3!7
καλούμενον	33.131	4	LUK 19:29!13; LUK 21:37!18; LUK 23:33!8; LUK 6:15!11
καλούμενος	33.129	1	LUK 19:2!5
καλοῖς	79.9	1	LUK 21:5!9
καλοῦνται	33.131	1	LUK 22:25!16
καλόν	65.22	1	LUK 6:43!15
καλόν	65.43	1	LUK 9:33!16
καλόν	66.2	1	LUK 9:33!16
καλύπτει	79.114	1	LUK 8:16!5
καλὸν	65.22	2	LUK 3:9!18; LUK 6:43!5
καλὸν	66.2	1	LUK 6:38!6
καλῇ	65.22	1	LUK 8:15!5
καλῇ	88.4	1	LUK 8:15!12
καλῶς	65.23	2	LUK 6:26!3; LUK 6:48!32
καλῶς	72.12	1	LUK 20:39!8
καλῶς	88.4	1	LUK 6:27!10
καρδία	26.3	2	LUK 12:34!10; LUK 24:32!7
καρδίαι	26.3	1	LUK 21:34!8
καρδίαις	26.3	2	LUK 3:15!10; LUK 5:22!16
καρδίαις	30.76	1	LUK 21:14!5
καρδίας	26.3	8	LUK 10:27!13; LUK 16:15!17; LUK 1:17!12; LUK 1:51!9; LUK 6:45!26; LUK 6:45!9; LUK 8:12!19; LUK 9:47!8
καρδίᾳ	26.3	6	LUK 12:45!9; LUK 24:25!11; LUK 24:38!14; LUK 2:19!12; LUK 2:51!24; LUK 8:15!11
καρδίᾳ	30.76	1	LUK 1:66!8
καρδιῶν	26.3	1	LUK 2:35!14
καρποφοροῦσιν	23.199	1	LUK 8:15!20
καρπούς	43.15	1	LUK 12:17!14
καρποὺς	13.86	1	LUK 3:8!3
καρποῦ	3.33	1	LUK 6:44!7
καρποῦ	43.15	1	LUK 20:10!11
καρπὸν	23.199	5	LUK 13:9!4; LUK 3:9!17; LUK 6:43!14; LUK 6:43!7; LUK 8:8!12
καρπὸν	3.33	7	LUK 13:6!17; LUK 13:7!13; LUK 13:9!4; LUK 3:9!17; LUK 6:43!14; LUK 6:43!7; LUK 8:8!12
καρπὸς	10.38	1	LUK 1:42!14
κατ	28.67	2	LUK 10:23!6; LUK 9:10!13
κατ	84.21	1	LUK 10:33!6
κατ	89.90	1	LUK 2:41!6
κατ	90.31	2	LUK 11:23!6; LUK 23:14!28
κατάβηθι	15.107	1	LUK 19:5!15
κατάκειται	23.21	1	LUK 7:37!13
κατάλυμα	7.30	1	LUK 22:11!14
κατέβαινεν	15.107	2	LUK 10:30!8; LUK 10:31!6
κατέβη	15.107	4	LUK 18:14!3; LUK 19:6!3; LUK 2:51!2; LUK 8:23!6
κατέδησεν	79.118	1	LUK 10:34!3
κατέκειτο	17.27	1	LUK 5:25!9
κατέκλασεν	19.38	1	LUK 9:16!17
κατέκλεισεν	37.125	1	LUK 3:20!7
κατέκλιναν	17.24	1	LUK 9:15!5
κατέλειπεν	35.17	1	LUK 10:40!21
κατέλιπον	85.65	1	LUK 20:31!12
κατέναντι	83.42	1	LUK 19:30!5
κατένευσαν	33.485	1	LUK 5:7!2
κατέπεσεν	15.118	1	LUK 8:6!3
κατέπλευσαν	54.13	1	LUK 8:26!2
κατέστησεν	37.104	1	LUK 12:14!8
κατέφαγεν	23.11	1	LUK 8:5!27
κατέχειν	85.9	1	LUK 14:9!21
κατέχουσιν	31.48	1	LUK 8:15!18
κατίσχυον	79.64	1	LUK 23:23!10
καταβάσει	15.109	1	LUK 19:37!7
καταβάτω	15.107	1	LUK 17:31!18
καταβαίνοντες	15.107	1	LUK 22:44!15
καταβιβασθήσῃ	15.108	1	LUK 10:15!11
καταβολῆς	42.37	1	LUK 11:50!11
καταβὰς	15.107	1	LUK 6:17!2
καταβῆναι	15.107	2	LUK 3:22!2; LUK 9:54!13
καταγαγόντες	54.16	1	LUK 5:11!2
καταδικάζετε	56.31	1	LUK 6:37!10
καταδικασθῆτε	56.31	1	LUK 6:37!14
κατακαύσει	14.66	1	LUK 3:17!23
κατακείμενοι	23.21	1	LUK 5:29!22
κατακλιθῆναι	17.23	1	LUK 24:30!5
κατακλιθῇς	17.23	1	LUK 14:8!8
κατακλυσμὸς	14.34	1	LUK 17:27!16
κατακολουθήσασαι	15.145	1	LUK 23:55!1
κατακρημνίσαι	15.221	1	LUK 4:29!22
κατακρινεῖ	56.31	1	LUK 11:31!14
κατακρινοῦσιν	56.31	1	LUK 11:32!12
καταλείπει	15.57	1	LUK 15:4!14
καταλιθάσει	20.79	1	LUK 20:6!9
καταλιπὼν	85.65	1	LUK 5:28!2
καταλυθήσεται	20.54	1	LUK 21:6!15
καταλύματι	7.11	1	LUK 2:7!23
καταλύσωσιν	34.61	1	LUK 9:12!23
καταλῦσαι	34.61	1	LUK 19:7!11
κατανοήσας	32.12	1	LUK 20:23!1
κατανοήσατε	30.4	2	LUK 12:24!1; LUK 12:27!1
κατανοεῖς	30.43	1	LUK 6:41!22
καταξιωθέντες	65.18	1	LUK 20:35!3
καταπέτασμα	6.160	1	LUK 23:45!7
καταπατεῖν	19.52	1	LUK 12:1!9
καταργεῖ	76.26	1	LUK 13:7!27
καταρωμένους	33.471	1	LUK 6:28!3
κατασκευάσει	77.7	1	LUK 7:27!15
κατασκηνώσεις	6.146	1	LUK 9:58!15
καταστήσει	37.104	2	LUK 12:42!14; LUK 12:44!10
κατασφάξατε	20.72	1	LUK 19:27!16
κατασύρῃ	15.179	1	LUK 12:58!19
καταφαγών	57.150	1	LUK 15:30!8
καταφιλοῦσά	34.62	1	LUK 7:45!12
καταφρονήσει	88.192	1	LUK 16:13!22
καταψύξῃ	79.76	1	LUK 16:24!21
κατεγέλων	33.410	1	LUK 8:53!2
κατεκλίθη	17.23	1	LUK 7:36!18
κατελθόντων	15.107	1	LUK 9:37!6
κατεπατήθη	19.52	1	LUK 8:5!21
κατεσθίουσιν	88.145	1	LUK 20:47!2
κατεσκήνωσεν	6.147	1	LUK 13:19!23
κατεσκευασμένον	77.6	1	LUK 1:17!24
κατευθῦναι	41.17	1	LUK 1:79!10
κατεφίλει	34.62	1	LUK 7:38!24
κατεφίλησεν	34.62	1	LUK 15:20!28
κατεῖχον	37.17	1	LUK 4:42!19
κατηγορεῖν	33.427	2	LUK 23:2!3; LUK 6:7!15
κατηγορεῖτε	33.427	1	LUK 23:14!27
κατηγοροῦντες	33.427	1	LUK 23:10!9
κατηρτισμένος	75.5	1	LUK 6:40!7
κατηχήθης	33.190	1	LUK 1:4!5
κατηχήθης	33.225	1	LUK 1:4!5
κατισχύσητε	74.10	1	LUK 21:36!8
κατισχύσητε	79.64	1	LUK 21:36!8
κατοικεῖ	85.69	1	LUK 11:26!12
κατοικοῦντας	85.69	1	LUK 13:4!26
κατὰ	58.51	1	LUK 9:18!8
κατὰ	83.12	1	LUK 9:6!4
κατὰ	83.34	1	LUK 2:31!3
κατὰ	84.21	2	LUK 10:32!5; LUK 8:33!16
κατὰ	84.30	1	LUK 10:4!10
κατὰ	84.31	1	LUK 9:6!4
κατὰ	89.8	13	LUK 10:31!1; LUK 1:38!10; LUK 1:9!1; LUK 22:22!7; LUK 22:39!4; LUK 23:56!12; LUK 2:22!9; LUK 2:24!5; LUK 2:27!21; LUK 2:29!7; LUK 2:39!6; LUK 2:42!8; LUK 4:16!10
κατὰ	89.90	5	LUK 13:22!3; LUK 15:14!8; LUK 21:11!5; LUK 8:1!9; LUK 8:4!7
κατῃσχύνοντο	25.194	1	LUK 13:17!5
κατῆλθεν	15.107	1	LUK 4:31!2
καὶ	89.102	16	LUK 10:30!17; LUK 10:30!20; LUK 12:45!26; LUK 15:2!6; LUK 21:11!13; LUK 22:33!10; LUK 22:33!13; LUK 22:66!12; LUK 23:12!7; LUK 2:16!9; LUK 2:46!16; LUK 2:46!19; LUK 5:10!3; LUK 5:10!5; LUK 5:36!21; LUK 5:36!25
καὶ	89.87	493	LUK 10:1!11; LUK 10:21!10; LUK 10:30!13; LUK 10:31!11; LUK 10:32!9; LUK 10:33!8; LUK 10:34!1; LUK 10:34!22; LUK 10:35!1; LUK 10:35!11; LUK 10:37!16; LUK 10:6!1; LUK 10:8!7; LUK 11:14!14; LUK 11:22!15; LUK 11:25!1; LUK 11:26!10; LUK 11:28!12; LUK 11:31!13; LUK 11:32!11; LUK 11:44!10; LUK 11:49!15; LUK 11:5!10; LUK 11:5!15; LUK 11:53!12; LUK 12:18!1; LUK 12:18!12; LUK 12:18!9; LUK 12:19!1; LUK 12:28!9; LUK 12:33!5; LUK 12:36!16; LUK 12:37!16; LUK 12:37!19; LUK 12:38!11; LUK 12:42!1; LUK 12:45!16; LUK 12:46!18; LUK 12:58!24; LUK 12:58!31; LUK 13:11!1; LUK 13:12!7; LUK 13:13!1; LUK 13:13!9; LUK 13:15!24; LUK 13:19!12; LUK 13:19!14; LUK 13:19!18; LUK 13:2!1; LUK 13:25!11; LUK 13:25!15; LUK 13:25!7; LUK 13:29!12; LUK 13:32!16; LUK 13:32!18; LUK 13:33!5; LUK 13:33!7; LUK 13:6!14; LUK 13:8!18; LUK 14:12!33; LUK 14:17!1; LUK 14:2!1; LUK 14:21!1; LUK 14:21!27; LUK 14:22!1; LUK 14:23!1; LUK 14:23!14; LUK 14:25!6; LUK 14:27!7; LUK 14:3!1; LUK 14:4!4; LUK 14:4!8; LUK 14:5!1; LUK 14:5!13; LUK 14:6!1; LUK 14:9!1; LUK 14:9!13; LUK 14:9!5; LUK 15:12!1; LUK 15:13!1; LUK 15:13!15; LUK 15:14!12; LUK 15:15!1; LUK 15:15!10; LUK 15:18!7; LUK 15:2!1; LUK 15:20!1; LUK 15:20!18; LUK 15:20!20; LUK 15:20!27; LUK 15:22!14; LUK 15:23!8; LUK 15:24!14; LUK 15:25!10; LUK 15:26!1; LUK 15:27!10; LUK 15:4!21; LUK 15:4!8; LUK 15:5!1; LUK 15:6!1; LUK 15:8!14; LUK 15:9!1; LUK 16:15!1; LUK 16:18!7; LUK 16:22!21; LUK 16:22!6; LUK 16:23!1; LUK 16:24!1; LUK 16:24!20; LUK 16:24!9; LUK 16:6!15; LUK 16:7!20; LUK 17:12!1; LUK 17:13!1; LUK 17:14!1; LUK 17:14!10; LUK 17:16!1; LUK 17:19!1; LUK 17:2!11; LUK 17:23!1; LUK 17:27!13; LUK 17:27!17; LUK 17:29!14; LUK 17:3!10; LUK 17:37!1; LUK 17:4!9; LUK 17:6!17; LUK 17:6!22; LUK 17:8!16; LUK 17:8!8; LUK 18:22!15; LUK 18:22!23; LUK 18:3!8; LUK 18:30!10; LUK 18:31!12; LUK 18:32!5; LUK 18:33!1; LUK 18:33!5; LUK 18:38!1; LUK 18:42!1; LUK 18:43!10; LUK 18:43!4; LUK 19:12!13; LUK 19:13!10; LUK 19:15!1; LUK 19:15!10; LUK 19:17!1; LUK 19:18!1; LUK 19:2!1; LUK 19:20!1; LUK 19:24!1; LUK 19:24!10; LUK 19:25!1; LUK 19:27!15; LUK 19:30!19; LUK 19:31!1; LUK 19:35!1; LUK 19:35!7; LUK 19:4!1; LUK 19:40!1; LUK 19:44!1; LUK 19:5!1; LUK 19:6!1; LUK 19:6!4; LUK 19:7!1; LUK 1:12!1; LUK 1:13!23; LUK 1:18!1; LUK 1:19!1; LUK 1:22!7; LUK 1:23!1; LUK 1:24!11; LUK 1:28!1; LUK 1:30!1; LUK 1:31!6; LUK 1:31!9; LUK 1:35!1; LUK 1:38!14; LUK 1:40!1; LUK 1:40!7; LUK 1:41!1; LUK 1:42!1; LUK 1:56!9; LUK 1:57!10; LUK 1:58!1; LUK 1:58!17; LUK 1:60!1; LUK 1:61!1; LUK 1:63!1; LUK 1:63!10; LUK 1:64!11; LUK 1:65!1; LUK 1:66!1; LUK 1:67!9; LUK 20:10!1; LUK 20:11!1; LUK 20:12!1; LUK 20:15!1; LUK 20:16!2; LUK 20:16!7; LUK 20:19!1; LUK 20:2!1; LUK 20:21!1; LUK 20:26!1; LUK 20:26!10; LUK 20:28!23; LUK 20:29!5; LUK 20:3!10; LUK 20:30!1; LUK 20:31!1; LUK 20:31!14; LUK 20:7!1; LUK 20:8!1; LUK 20:9!13; LUK 20:9!17; LUK 21:27!1; LUK 21:3!1; LUK 21:36!15; LUK 21:38!1; LUK 21:7!10; LUK 22:11!1; LUK 22:13!7; LUK 22:15!1; LUK 22:17!1; LUK 22:19!1; LUK 22:19!6; LUK 22:23!1; LUK 22:32!12; LUK 22:36!21; LUK 22:41!1; LUK 22:41!9; LUK 22:44!1; LUK 22:45!1; LUK 22:46!1; LUK 22:47!15; LUK 22:5!3; LUK 22:50!1; LUK 22:51!9; LUK 22:54!5; LUK 22:55!8; LUK 22:56!10; LUK 22:58!1; LUK 22:59!1; LUK 22:6!1; LUK 22:6!3; LUK 22:60!10; LUK 22:61!1; LUK 22:61!8; LUK 22:62!1; LUK 22:64!1; LUK 22:66!14; LUK 23:42!1; LUK 23:43!1; LUK 23:46!1; LUK 23:48!1; LUK 23:53!1; LUK 23:53!6; LUK 23:7!1; LUK 24:12!15; LUK 24:12!9; LUK 24:15!1; LUK 24:19!1; LUK 24:20!14; LUK 24:24!1; LUK 24:24!10; LUK 24:25!1; LUK 24:26!7; LUK 24:27!1; LUK 24:28!8; LUK 24:29!17; LUK 24:30!13; LUK 24:31!9; LUK 24:32!1; LUK 24:33!1; LUK 24:33!9; LUK 24:34!7; LUK 24:35!1; LUK 24:35!8; LUK 24:38!1; LUK 24:4!1; LUK 24:40!1; LUK 24:43!1; LUK 24:46!10; LUK 24:47!1; LUK 24:5!5; LUK 24:50!7; LUK 24:52!1; LUK 24:53!1; LUK 24:7!13; LUK 24:7!15; LUK 24:8!1; LUK 24:9!1; LUK 2:10!1; LUK 2:13!1; LUK 2:15!21; LUK 2:16!1; LUK 2:16!4; LUK 2:18!1; LUK 2:20!1; LUK 2:27!1; LUK 2:27!9; LUK 2:28!1; LUK 2:28!8; LUK 2:3!1; LUK 2:33!1; LUK 2:34!1; LUK 2:34!17; LUK 2:34!5; LUK 2:42!1; LUK 2:43!1; LUK 2:44!11; LUK 2:45!1; LUK 2:46!1; LUK 2:48!1; LUK 2:48!5; LUK 2:49!1; LUK 2:51!1; LUK 2:51!5; LUK 2:7!1; LUK 2:7!11; LUK 2:7!8; LUK 2:9!1; LUK 2:9!11; LUK 3:12!6; LUK 3:14!11; LUK 3:17!12; LUK 3:21!9; LUK 3:22!1; LUK 3:22!13; LUK 3:3!1; LUK 3:9!20; LUK 4:1!10; LUK 4:12!1; LUK 4:13!1; LUK 4:14!13; LUK 4:15!1; LUK 4:16!22; LUK 4:16!8; LUK 4:17!1; LUK 4:17!8; LUK 4:2!15; LUK 4:20!1; LUK 4:20!9; LUK 4:22!1; LUK 4:22!18; LUK 4:23!1; LUK 4:28!1; LUK 4:29!1; LUK 4:29!8; LUK 4:32!1; LUK 4:35!1; LUK 4:35!12; LUK 4:36!1; LUK 4:36!24; LUK 4:36!6; LUK 4:38!19; LUK 4:39!1; LUK 4:39!8; LUK 4:4!1; LUK 4:42!14; LUK 4:42!18; LUK 4:42!9; LUK 4:44!1; LUK 4:6!1; LUK 4:6!19; LUK 4:8!1; LUK 4:9!13; LUK 4:9!6; LUK 5:10!14; LUK 5:11!1; LUK 5:13!1; LUK 5:13!10; LUK 5:14!1; LUK 5:14!13; LUK 5:15!8; LUK 5:18!1; LUK 5:19!1; LUK 5:20!1; LUK 5:21!1; LUK 5:23!13; LUK 5:24!22; LUK 5:25!1; LUK 5:26!1; LUK 5:27!14; LUK 5:27!5; LUK 5:28!1; LUK 5:30!1; LUK 5:31!1; LUK 5:35!4; LUK 5:37!19; LUK 5:4!13; LUK 5:5!1; LUK 5:6!1; LUK 5:7!1; LUK 5:7!13; LUK 5:7!15; LUK 6:1!9; LUK 6:10!1; LUK 6:10!14; LUK 6:11!5; LUK 6:13!1; LUK 6:13!9; LUK 6:3!1; LUK 6:4!8; LUK 6:47!11; LUK 6:47!6; LUK 6:48!10; LUK 6:49!21; LUK 6:6!11; LUK 6:8!17; LUK 6:8!22; LUK 7:10!1; LUK 7:13!1; LUK 7:13!9; LUK 7:14!1; LUK 7:14!10; LUK 7:15!1; LUK 7:15!5; LUK 7:15!8; LUK 7:18!10; LUK 7:22!1; LUK 7:36!11; LUK 7:37!1; LUK 7:38!16; LUK 7:38!28; LUK 7:40!1; LUK 7:44!1; LUK 7:44!32; LUK 7:49!1; LUK 7:9!8; LUK 8:12!13; LUK 8:13!23; LUK 8:15!19; LUK 8:22!16; LUK 8:22!26; LUK 8:28!8; LUK 8:29!22; LUK 8:31!1; LUK 8:32!20; LUK 8:33!12; LUK 8:33!22; LUK 8:34!8; LUK 8:35!11; LUK 8:35!29; LUK 8:35!6; LUK 8:37!1; LUK 8:39!13; LUK 8:39!6; LUK 8:41!14; LUK 8:43!1; LUK 8:44!9; LUK 8:45!1; LUK 8:47!10; LUK 8:5!20; LUK 8:5!9; LUK 8:53!1; LUK 8:55!1; LUK 8:55!6; LUK 8:55!9; LUK 8:56!1; LUK 8:6!7; LUK 8:7!8; LUK 8:8!9; LUK 9:10!9; LUK 9:11!7; LUK 9:15!1; LUK 9:16!16; LUK 9:16!18; LUK 9:17!1; LUK 9:17!6; LUK 9:2!1; LUK 9:22!19; LUK 9:22!21; LUK 9:23!13; LUK 9:23!20; LUK 9:29!1; LUK 9:3!1; LUK 9:30!1; LUK 9:33!1; LUK 9:34!7; LUK 9:35!1; LUK 9:36!1; LUK 9:36!10; LUK 9:39!6; LUK 9:4!9; LUK 9:42!23; LUK 9:48!1; LUK 9:49!14; LUK 9:52!1; LUK 9:52!7; LUK 9:56!1; LUK 9:7!9; LUK 9:9!16
