Term_Id	Term	Gloss	Domain	Refs
ἀποδοκιμάζω	ἀποδοκιμάζω	reject	truth	LUK 9:22!22; LUK 17:25!16; LUK 20:17!28
ἀποθήκη	ἀποθήκη	barn; storehouse	constructions	LUK 3:17!36; LUK 12:18!16; LUK 12:24!28
ἀπολύτρωσις	ἀπολύτρωσις	liberation, deliverance, redemption	help, protect, save	LUK 21:28!28
ἀπολύω	ἀπολύω	forgive, pardon	atone, forgive	LUK 6:37!30; LUK 6:37!34
ἀπόστολος	ἀπόστολος	messenger; apostle	people; communication	LUK 6:13!32; LUK 9:10!8; LUK 11:49!28; LUK 17:5!8; LUK 22:14!18; LUK 24:10!40
ἀρήν	ἀρήν	lamb	mammals	LUK 10:3!12
Ἁριμαθαία	Ἁριμαθαία	Arimathea	settlement	LUK 23:51!24
Ἀρνί	Ἀρνί	Arni	person	LUK 3:33!12
Ἀρφαξάδ	Ἀρφαξάδ	Arphaxad	person	LUK 3:36!8
ἀρχή	ἀρχή	ruler	people; authority	LUK 12:11!20; LUK 20:20!34
ἀρχιερεύς	ἀρχιερεύς	chief priest; high priest	people; occupations; priesthood; authority	LUK 3:2!4; LUK 9:22!32; LUK 19:47!24; LUK 20:1!36; LUK 20:19!14; LUK 22:2!8; LUK 22:4!10; LUK 22:50!16; LUK 22:52!18; LUK 22:54!22; LUK 22:66!20; LUK 23:4!14; LUK 23:10!8; LUK 23:13!10; LUK 24:20!12
ἀρχισυναγωγος	ἀρχισυναγωγος	leader of a synagogue	authority; people; religious activities	LUK 8:49!16; LUK 13:14!8
ἀρχιτελώνης	ἀρχιτελώνης	chief tax collector	people; occupations; authority; tax	LUK 19:2!20
Ἀσήρ	Ἀσήρ	Asher	person	LUK 2:36!18
ἀσκός	ἀσκός	wineskin	artifacts	LUK 5:37!14; LUK 5:37!38; LUK 5:37!50; LUK 5:38!10
ἀσσάριον	ἀσσάριον	assarion; penny	artifacts	LUK 12:6!10
ἀσφάλεια	ἀσφάλεια	certainty; being without doubt	truth	LUK 1:4!16
Αὐγοῦστος	Αὐγοῦστος	Augustus	titles	LUK 2:1!22
αὐλέω	αὐλέω	play a flute	artifacts	LUK 7:32!26
αὐλή-2	αὐλή	courtyard; or dwelling, palace, mansion	constructions	LUK 11:21!16; LUK 22:55!14
ἀφίημι	ἀφίημι	forgive; forgive a debt	atone, forgive	LUK 5:20!16; LUK 5:21!38; LUK 5:23!10; LUK 5:24!28; LUK 7:47!10; LUK 7:47!34; LUK 7:48!8; LUK 7:49!28; LUK 11:4!4; LUK 11:4!20; LUK 12:10!22; LUK 12:10!42; LUK 17:3!26; LUK 17:4!32; LUK 23:34!12
Ἅβελ	Ἅβελ	Abel	person	LUK 11:51!6
ἄβυσσος	ἄβυσσος	abyss; abode of evil spirits; very deep place	universe	LUK 8:31!20
ἄγγελος	ἄγγελος	angel	supernatural beings and powers	LUK 1:11!8; LUK 1:13!12; LUK 1:18!12; LUK 1:19!8; LUK 1:26!18; LUK 1:30!8; LUK 1:34!12; LUK 1:35!8; LUK 1:38!38; LUK 2:9!4; LUK 2:10!10; LUK 2:13!12; LUK 2:15!22; LUK 2:21!38; LUK 4:10!10; LUK 9:26!56; LUK 12:8!46; LUK 12:9!22; LUK 15:10!16; LUK 16:22!22; LUK 24:23!22
ἅγιος-1	ἅγιος	holy; pure; divine	clean, pure, holy	LUK 1:35!42; LUK 1:49!16; LUK 1:70!12; LUK 1:72!20; LUK 2:23!22; LUK 2:26!18; LUK 4:34!32; LUK 9:26!54
ἄδικος	ἄδικος	unbeliever; not a follower of Christ	people; association; morals and ethics	LUK 16:10!28; LUK 16:10!36; LUK 16:11!10; LUK 18:11!42
