Term_Id	Term	Gloss	Domain	Refs
ἐξουσία	ἐξουσία	authority; control	authority; control	LUK 4:6!18; LUK 4:32!18; LUK 4:36!34; LUK 5:24!18; LUK 7:8!14; LUK 9:1!18; LUK 10:19!10; LUK 12:5!24; LUK 12:11!26; LUK 19:17!26; LUK 20:2!20; LUK 20:2!40; LUK 20:8!24; LUK 20:20!40; LUK 22:53!48; LUK 23:7!12
ἐπαγγελία	ἐπαγγελία	a promise; agreement	communication	LUK 24:49!12
ἐπικρίνω	ἐπικρίνω	decided	court	LUK 23:24!6
ἐπιτιμάω-1	ἐπιτιμάω	to rebuke, denounce	communication; authority	LUK 9:55!6; LUK 17:3!16; LUK 18:15!28; LUK 18:39!8; LUK 19:39!24; LUK 23:40!10
ἐπιτιμάω-2	ἐπιτιμάω	to command	communication; authority	LUK 4:35!4; LUK 4:39!10; LUK 4:41!36; LUK 8:24!24; LUK 9:21!6; LUK 9:42!22
ἐπίβλημα	ἐπίβλημα	patch	artifacts; clothing	LUK 5:36!18; LUK 5:36!64
ἐρωτάω	ἐρωτάω	ask; request	communication	LUK 4:38!40; LUK 5:3!20; LUK 7:3!24; LUK 7:36!2; LUK 8:37!4; LUK 9:45!36; LUK 11:37!10; LUK 14:18!38; LUK 14:19!24; LUK 14:32!22; LUK 16:27!6; LUK 19:31!10; LUK 20:3!12; LUK 22:68!6; LUK 23:3!8
ἐσθής	ἐσθής	clothing; apparel	artifacts; clothing	LUK 23:11!28; LUK 24:4!32
Ἑσλί	Ἑσλί	Esli	person	LUK 3:25!16
Ἑσρώμ	Ἑσρώμ	Hezron	person	LUK 3:33!16
εὐαγγελίζω	εὐαγγελίζω	tell the good news; announce the gospel	communication	LUK 1:19!42; LUK 2:10!20; LUK 4:18!18; LUK 4:43!22; LUK 7:22!48; LUK 8:1!30; LUK 9:6!14; LUK 16:16!28; LUK 20:1!30
εὐθύς	εὐθύς	straight; upright	morals and ethics	LUK 3:4!36; LUK 3:5!30
εὐλογέω	εὐλογέω	bless (act.); be blessed (pass.); praise, give thanks	blessing and curse	LUK 1:42!14; LUK 1:42!24; LUK 1:64!26; LUK 2:28!18; LUK 2:34!4; LUK 6:28!2; LUK 9:16!28; LUK 13:35!36; LUK 19:38!4; LUK 24:30!24; LUK 24:50!26; LUK 24:51!10; LUK 24:53!16
εὐλογητός-1	εὐλογητός	blessed; worthy of praise	blessing and curse	LUK 1:68!2
ἐχθρός	ἐχθρός	enemy	people; hostility, strife	LUK 1:71!6; LUK 1:74!8; LUK 6:27!16; LUK 6:35!8; LUK 10:19!36; LUK 19:27!6; LUK 19:43!18; LUK 20:43!10
Ἔβερ	Ἔβερ	Eber	person	LUK 3:35!16
ἔθνος-1	ἔθνος	nation; people	people; groups	LUK 7:5!8; LUK 21:10!10; LUK 21:10!14; LUK 21:25!30; LUK 23:2!20; LUK 24:47!28
ἔθνος-2	ἔθνος	Gentiles; heathen	people; groups; association	LUK 2:32!8; LUK 12:30!10; LUK 18:32!8; LUK 21:24!18; LUK 21:24!32; LUK 21:24!42; LUK 22:25!16
ἔλαιον	ἔλαιον	olive oil	food; health; fuel; perfumes and spices	LUK 7:46!2; LUK 10:34!16; LUK 16:6!12
ἔλεος	ἔλεος	mercy	compassion	LUK 1:50!6; LUK 1:54!12; LUK 1:58!26; LUK 1:72!4; LUK 1:78!6; LUK 10:37!14
ἔνδοξος	ἔνδοξος	glorious; honorable	glory; honor, respect, status	LUK 7:25!28; LUK 13:17!36
ἔνδυμα	ἔνδυμα	clothing; apparel	artifacts; clothing	LUK 12:23!24
ἔξεστι(ν)-2	ἔξεστι(ν)	be lawful	morals and ethics; law	LUK 6:2!20; LUK 6:4!44; LUK 6:9!20; LUK 14:3!24; LUK 20:22!2
ἔριφος	ἔριφος	kid; he-goat; goat	animals	LUK 15:29!44
ἔχιδνα	ἔχιδνα	asp; cobra; viper	snakes and lizards	LUK 3:7!20
Ζακχαῖος	Ζακχαῖος	Zacchaeus	person	LUK 19:2!12; LUK 19:5!26; LUK 19:8!6
Ζαχαρίας-1	Ζαχαρίας	Zechariah	person	LUK 1:5!24; LUK 1:12!6; LUK 1:13!18; LUK 1:18!6; LUK 1:21!14; LUK 1:40!12; LUK 1:59!42; LUK 1:67!4; LUK 3:2!24
Ζαχαρίας-2	Ζαχαρίας	Zechariah	person	LUK 11:51!12
ζάω	ζάω	to live; to come back to life	life and death	LUK 2:36!30; LUK 4:4!26; LUK 10:28!18; LUK 15:13!42; LUK 15:32!28; LUK 20:38!14; LUK 20:38!22; LUK 24:5!36; LUK 24:23!32
Ζεβεδαῖος	Ζεβεδαῖος	Zebedee	person	LUK 5:10!16
ζηλωτής-2	ζηλωτής	Zealot	people; association	LUK 6:15!24
Ζοροβαβέλ	Ζοροβαβέλ	Zerubbabel	person	LUK 3:27!12
ζωή	ζωή	life	life and death	LUK 10:25!24; LUK 12:15!36; LUK 16:25!26; LUK 18:18!22; LUK 18:30!32
ζῳογονέω	ζῳογονέω	preserve; give life	life and death	LUK 17:33!28
ἡδύοσμον	ἡδύοσμον	mint	plants; food; health	LUK 11:42!18
Ἠλίας	Ἠλίας	Elijah	person	LUK 1:17!20; LUK 4:25!24; LUK 4:26!12; LUK 9:8!10; LUK 9:19!20; LUK 9:30!22; LUK 9:33!64
Ἠλί	Ἠλί	Heli	person	LUK 3:23!30
Ἡρῳδιάς	Ἡρῳδιάς	Herodias	person	LUK 3:19!20
Ἡρῴδης-1	Ἡρῴδης	Herod	person	LUK 1:5!10
Ἡρῴδης-2	Ἡρῴδης	Herod	person	LUK 3:1!36; LUK 3:19!6; LUK 3:19!46; LUK 8:3!12; LUK 9:7!6; LUK 9:9!6; LUK 13:31!30; LUK 23:7!14; LUK 23:7!24; LUK 23:8!6; LUK 23:11!12; LUK 23:12!12; LUK 23:15!6
Ἠσαΐας	Ἠσαΐας	Isaiah	person	LUK 3:4!12; LUK 4:17!14
Ἤρ	Ἤρ	Er	person	LUK 3:28!20
Θάρα	Θάρα	Terah	person	LUK 3:34!16
θεμέλιον	θεμέλιον	foundation stone	constructions	LUK 6:48!24; LUK 6:49!32; LUK 14:29!10
θεός-1	θεός	God	supernatural beings and powers; titles	LUK 1:6!14; LUK 1:8!30; LUK 1:16!20; LUK 1:19!28; LUK 1:26!26; LUK 1:30!28; LUK 1:32!26; LUK 1:35!48; LUK 1:37!12; LUK 1:47!16; LUK 1:64!30; LUK 1:68!8; LUK 1:78!8; LUK 2:13!24; LUK 2:14!8; LUK 2:20!18; LUK 2:28!22; LUK 2:38!16; LUK 2:40!22; LUK 2:52!24; LUK 3:2!16; LUK 3:6!16; LUK 3:8!46; LUK 3:38!16; LUK 4:3!20; LUK 4:8!20; LUK 4:9!40; LUK 4:12!26; LUK 4:34!36; LUK 4:41!32; LUK 4:43!34; LUK 5:1!28; LUK 5:21!48; LUK 5:25!34; LUK 5:26!16; LUK 6:4!14; LUK 6:12!40; LUK 6:20!42; LUK 7:16!16; LUK 7:16!40; LUK 7:28!34; LUK 7:29!22; LUK 7:30!20; LUK 8:1!38; LUK 8:10!24; LUK 8:11!24; LUK 8:21!36; LUK 8:28!38; LUK 8:39!24; LUK 9:2!16; LUK 9:11!32; LUK 9:20!34; LUK 9:27!42; LUK 9:43!16; LUK 9:60!36; LUK 9:62!46; LUK 10:9!32; LUK 10:11!48; LUK 10:27!16; LUK 11:20!10; LUK 11:20!34; LUK 11:28!22; LUK 11:42!48; LUK 11:49!14; LUK 12:6!32; LUK 12:8!50; LUK 12:9!26; LUK 12:20!10; LUK 12:21!16; LUK 12:24!34; LUK 12:28!30; LUK 13:13!24; LUK 13:18!18; LUK 13:20!18; LUK 13:28!50; LUK 13:29!36; LUK 14:15!34; LUK 15:10!20; LUK 16:13!50; LUK 16:15!28; LUK 16:15!54; LUK 16:16!26; LUK 17:15!28; LUK 17:18!14; LUK 17:20!22; LUK 17:20!42; LUK 17:21!24; LUK 18:2!18; LUK 18:4!30; LUK 18:7!6; LUK 18:11!18; LUK 18:13!44; LUK 18:16!48; LUK 18:17!22; LUK 18:19!32; LUK 18:24!38; LUK 18:25!30; LUK 18:27!22; LUK 18:29!52; LUK 18:43!18; LUK 18:43!36; LUK 19:11!46; LUK 19:37!42; LUK 20:21!44; LUK 20:25!28; LUK 20:25!32; LUK 20:36!24; LUK 20:37!32; LUK 20:37!38; LUK 20:37!44; LUK 20:38!2; LUK 21:31!30; LUK 22:16!32; LUK 22:18!42; LUK 22:69!32; LUK 22:70!20; LUK 23:35!44; LUK 23:40!24; LUK 23:47!18; LUK 23:51!42; LUK 24:19!50; LUK 24:53!20
Θεόφιλος	Θεόφιλος	Theophilus	person	LUK 1:3!22
θεραπεία	θεραπεία	group of servants	people; groups; serve; authority	LUK 12:42!38
θεραπεύω	θεραπεύω	heal, cure, take care of; serve, render service, help	health; well-being; serve	LUK 4:23!24; LUK 4:40!46; LUK 5:15!28; LUK 6:7!26; LUK 6:18!34; LUK 7:21!10; LUK 8:2!12; LUK 8:43!40; LUK 9:1!32; LUK 9:6!18; LUK 10:9!4; LUK 13:14!18; LUK 13:14!54; LUK 14:3!30
θησαυρός-1	θησαυρός	storeroom	constructions	LUK 6:45!14
θησαυρός-3	θησαυρός	treasure, wealth, riches	possession	LUK 12:33!26; LUK 12:34!10; LUK 18:22!40
θρόνος	θρόνος	throne	artifacts; authority	LUK 1:32!30; LUK 1:52!8; LUK 22:30!32
θυμίαμα	θυμίαμα	incense	sacrifices and offerings	LUK 1:10!26; LUK 1:11!24
θυσιαστήριον	θυσιαστήριον	altar	sacrifices and offerings	LUK 1:11!20; LUK 11:51!22
θυσία	θυσία	sacrifice; offering	sacrifices and offerings	LUK 2:24!8; LUK 13:1!40
θύρα-1	θύρα	door; gate	constructions	LUK 11:7!22; LUK 13:24!12; LUK 13:25!20; LUK 13:25!36
θύω	θύω	sacrifice	sacrifices and offerings	LUK 22:7!20
Θωμᾶς	Θωμᾶς	Thomas	person	LUK 6:15!8
Ἰακώβ-1	Ἰακώβ	Jacob	person	LUK 1:33!12; LUK 3:34!4; LUK 13:28!32; LUK 20:37!46
Ἰανναί	Ἰανναί	Jannai	person	LUK 3:24!16
Ἰάκωβος-1	Ἰάκωβος	James	person	LUK 5:10!8; LUK 6:14!24; LUK 8:51!36; LUK 9:28!32; LUK 9:54!10; LUK 24:10!22
Ἰάκωβος-3	Ἰάκωβος	James	person	LUK 6:15!12
Ἰάκωβος-5	Ἰάκωβος	James	person	LUK 6:16!6
Ἰάρετ	Ἰάρετ	Jared	person	LUK 3:37!12
Ἰάϊρος	Ἰάϊρος	Jairus	person	LUK 8:41!14
ἱερατεία	ἱερατεία	priestly office, priesthood	occupations; priesthood	LUK 1:9!10
ἱερατεύω	ἱερατεύω	serve as a priest, be a priest	occupations; priesthood	LUK 1:8!10
ἱερεύς	ἱερεύς	priest	people; occupations; priesthood; religious activities	LUK 1:5!18; LUK 5:14!24; LUK 6:4!56; LUK 10:31!8; LUK 17:14!18
Ἰεριχώ	Ἰεριχώ	Jericho	settlement	LUK 10:30!22; LUK 18:35!16; LUK 19:1!10
Ἱεροσόλυμα-1	Ἱεροσόλυμα	Jerusalem	settlement	LUK 2:22!32; LUK 2:25!12; LUK 2:38!34; LUK 2:41!18; LUK 2:43!28; LUK 2:45!12; LUK 4:9!10; LUK 5:17!56; LUK 6:17!48; LUK 9:31!26; LUK 9:51!38; LUK 9:53!24; LUK 10:30!18; LUK 13:4!54; LUK 13:22!24; LUK 13:33!34; LUK 13:34!2; LUK 13:34!4; LUK 17:11!14; LUK 18:31!22; LUK 19:11!24; LUK 19:28!16; LUK 21:20!14; LUK 21:24!24; LUK 23:7!34; LUK 23:28!18; LUK 24:13!36; LUK 24:18!24; LUK 24:33!16; LUK 24:47!34; LUK 24:52!14
ἱερός	ἱερός	temple	buildings; sanctuary	LUK 2:27!16; LUK 2:37!24; LUK 2:46!20; LUK 4:9!24; LUK 18:10!12; LUK 19:45!10; LUK 19:47!18; LUK 20:1!26; LUK 21:5!12; LUK 21:37!14; LUK 21:38!20; LUK 22:52!26; LUK 22:53!18; LUK 24:53!14
Ἰεσσαί	Ἰεσσαί	Jesse	person	LUK 3:32!4
Ἰησοῦς-1	Ἰησοῦς	Jesus	person	LUK 1:31!28; LUK 2:21!28; LUK 2:27!34; LUK 2:43!20; LUK 2:52!4; LUK 3:21!20; LUK 3:23!8; LUK 4:1!2; LUK 4:4!12; LUK 4:8!8; LUK 4:12!12; LUK 4:14!8; LUK 4:34!12; LUK 4:35!10; LUK 5:8!16; LUK 5:10!40; LUK 5:12!38; LUK 5:19!54; LUK 5:22!8; LUK 5:31!8; LUK 5:34!6; LUK 6:3!14; LUK 6:9!8; LUK 6:11!26; LUK 7:3!10; LUK 7:4!12; LUK 7:6!6; LUK 7:9!10; LUK 7:40!8; LUK 8:28!8; LUK 8:28!32; LUK 8:30!10; LUK 8:35!20; LUK 8:35!56; LUK 8:39!48; LUK 8:40!12; LUK 8:41!40; LUK 8:45!8; LUK 8:46!6; LUK 8:50!6; LUK 9:33!28; LUK 9:36!16; LUK 9:41!8; LUK 9:42!28; LUK 9:47!6; LUK 9:50!12; LUK 9:58!10; LUK 9:62!12; LUK 10:29!18; LUK 10:30!6; LUK 10:37!28; LUK 13:12!10; LUK 13:14!22; LUK 14:3!8; LUK 17:13!12; LUK 17:17!8; LUK 18:16!6; LUK 18:19!10; LUK 18:22!8; LUK 18:24!10; LUK 18:37!10; LUK 18:38!8; LUK 18:40!8; LUK 18:42!6; LUK 19:3!10; LUK 19:5!18; LUK 19:9!12; LUK 19:35!12; LUK 19:35!34; LUK 20:8!6; LUK 20:34!10; LUK 22:47!36; LUK 22:48!2; LUK 22:51!8; LUK 22:52!6; LUK 23:8!12; LUK 23:20!20; LUK 23:25!30; LUK 23:26!38; LUK 23:28!12; LUK 23:34!6; LUK 23:42!6; LUK 23:46!12; LUK 23:52!18; LUK 24:3!18; LUK 24:15!22; LUK 24:19!22
Ἰησοῦς-2	Ἰησοῦς	Joshua	person	LUK 3:29!4
ἱλάσκομαι	ἱλάσκομαι	have mercy; forgive	atone, forgive; compassion	LUK 18:13!46
ἱματισμός	ἱματισμός	clothing; apparel	artifacts; clothing	LUK 7:25!26; LUK 9:29!30
ἱμάς	ἱμάς	strap; thong	artifacts	LUK 3:16!44
ἱμάτιον-1	ἱμάτιον	clothing; apparel	artifacts; clothing	LUK 7:25!16; LUK 19:35!22; LUK 19:36!12; LUK 23:34!32
ἱμάτιον-2	ἱμάτιον	cloak; coat; robe	artifacts; clothing	LUK 5:36!22; LUK 5:36!32; LUK 6:29!34; LUK 8:27!40; LUK 8:44!14; LUK 22:36!38
Ἰορδάνης	Ἰορδάνης	Jordan River	nature	LUK 3:3!16; LUK 4:1!18
Ἰουδαία	Ἰουδαία	Judea	area	LUK 1:5!16; LUK 1:65!30; LUK 2:4!26; LUK 3:1!26; LUK 4:44!16; LUK 5:17!52; LUK 6:17!44; LUK 7:17!18; LUK 21:21!10; LUK 23:5!26
Ἰουδαῖος-2	Ἰουδαῖος	Jew	group	LUK 7:3!22; LUK 23:3!24; LUK 23:37!18; LUK 23:38!20; LUK 23:51!30
Ἰούδας-1	Ἰούδας	Judas	person	LUK 6:16!10; LUK 22:3!10; LUK 22:47!18; LUK 22:48!10
Ἰούδας-10	Ἰούδας	Judah	area	LUK 1:39!32
Ἰούδας-2	Ἰούδας	Judas	person	LUK 6:16!4
Ἰούδας-7	Ἰούδας	Judah	person	LUK 3:30!8
Ἰούδας-8	Ἰούδας	Judah	person	LUK 3:33!24
Ἰσαάκ	Ἰσαάκ	Isaac	person	LUK 3:34!8; LUK 13:28!28; LUK 20:37!40
Ἰσκαριώθ	Ἰσκαριώθ	Iscariot	person	LUK 6:16!12; LUK 22:3!16
Ἰσραήλ-2	Ἰσραήλ	Israel	group	LUK 1:16!10; LUK 1:54!4; LUK 1:68!12; LUK 1:80!38; LUK 2:25!40; LUK 2:32!18; LUK 2:34!44; LUK 4:25!30; LUK 4:27!14; LUK 7:9!40; LUK 22:30!44; LUK 24:21!22
ἰσχύω-1	ἰσχύω	have power, be strong enough to	strength	LUK 16:3!40
ἰσχύω-3	ἰσχύω	be able to, be capable of	able, capable	LUK 6:48!54; LUK 8:43!34; LUK 13:24!30; LUK 14:6!6; LUK 14:29!16; LUK 14:30!20; LUK 20:26!6
Ἰτουραῖος	Ἰτουραῖος	Ituraean	area	LUK 3:1!52
ἰχθύς	ἰχθύς	fish	fish, frogs, and mollusks	LUK 5:6!12; LUK 5:9!28; LUK 9:13!40; LUK 9:16!18; LUK 11:11!20; LUK 11:11!26; LUK 24:42!10
Ἰωανάν	Ἰωανάν	Joanan	person	LUK 3:27!4
Ἰωάννα	Ἰωάννα	Joanna	person	LUK 8:3!4; LUK 24:10!14
Ἰωάννης-1	Ἰωάννης	John	person	LUK 1:13!56; LUK 1:60!20; LUK 1:63!12; LUK 3:2!20; LUK 3:15!28; LUK 3:16!10; LUK 3:20!18; LUK 5:33!16; LUK 7:18!6; LUK 7:18!36; LUK 7:20!16; LUK 7:22!14; LUK 7:24!10; LUK 7:24!24; LUK 7:28!14; LUK 7:29!30; LUK 7:33!6; LUK 9:7!34; LUK 9:9!8; LUK 9:19!10; LUK 11:1!52; LUK 16:16!14; LUK 20:4!6; LUK 20:6!28
Ἰωάννης-2	Ἰωάννης	John	person	LUK 5:10!12; LUK 6:14!28; LUK 8:51!32; LUK 9:28!28; LUK 9:49!6; LUK 9:54!14; LUK 22:8!10
Ἰωβήδ	Ἰωβήδ	Obed	person	LUK 3:32!8
Ἰωδά	Ἰωδά	Joda	person	LUK 3:26!20
Ἰωνάμ	Ἰωνάμ	Jonam	person	LUK 3:30!16
Ἰωνᾶς	Ἰωνᾶς	Jonah	person	LUK 11:29!48; LUK 11:30!8; LUK 11:32!38; LUK 11:32!46
Ἰωρίμ	Ἰωρίμ	Jorim	person	LUK 3:29!12
Ἰωσήφ-2	Ἰωσήφ	Joseph	person	LUK 1:27!14; LUK 2:4!8; LUK 2:16!22; LUK 3:23!26; LUK 4:22!46
Ἰωσήφ-3	Ἰωσήφ	Joseph	person	LUK 23:50!10
Ἰωσήφ-8	Ἰωσήφ	Joseph	person	LUK 3:24!20; LUK 3:30!12
Ἰωσήχ	Ἰωσήχ	Josech	person	LUK 3:26!16
Καϊάφας	Καϊάφας	Caiaphas	person	LUK 3:2!10
καθαρισμός	καθαρισμός	cleansing; purification	clean, pure, holy	LUK 2:22!14; LUK 5:14!34
καθαρίζω	καθαρίζω	cleanse; be cleansed; purify, be purified	clean, pure, holy	LUK 4:27!30; LUK 5:12!62; LUK 5:13!18; LUK 7:22!34; LUK 11:39!36; LUK 17:14!32; LUK 17:17!18
καθαρός	καθαρός	clean; pure, innocent	clean, pure, holy	LUK 11:41!18
Καῖσαρ	Καῖσαρ	Caesar; the Emperor	titles	LUK 2:1!20; LUK 3:1!16; LUK 20:22!6; LUK 20:24!24; LUK 20:25!18; LUK 20:25!20; LUK 23:2!30
καλος	καλος	honest; good	morals and ethics	LUK 8:15!10; LUK 8:15!24
Καϊνάμ-1	Καϊνάμ	Cainan	person	LUK 3:36!4
Καϊνάμ-2	Καϊνάμ	Cainan	person	LUK 3:37!20
καρδία	καρδία	heart, inner self, mind	attitudes and emotions; intellect; psychological faculties	LUK 1:17!24; LUK 1:51!18; LUK 1:66!16; LUK 2:19!24; LUK 2:35!28; LUK 2:51!46; LUK 3:15!20; LUK 5:22!32; LUK 6:45!18; LUK 6:45!50; LUK 8:12!38; LUK 8:15!22; LUK 9:47!16; LUK 10:27!26; LUK 12:34!20; LUK 12:45!18; LUK 16:15!34; LUK 21:14!10; LUK 21:34!16; LUK 24:25!22; LUK 24:32!14; LUK 24:38!28
καταδικάζω	καταδικάζω	condemn	court	LUK 6:37!20
καταπέτασμα	καταπέτασμα	drape; curtain; veil	artifacts; furnishings	LUK 23:45!14
κατασκηνόω	κατασκηνόω	to nest	artifacts	LUK 13:19!46
κατασκήνωσις	κατασκήνωσις	nest	artifacts	LUK 9:58!30
κατάλυμα-1	κατάλυμα	inn	constructions; buildings	LUK 2:7!46
κατάλυμα-2	κατάλυμα	room; quarters; dining room	constructions; buildings	LUK 22:11!28
Καφαρναούμ	Καφαρναούμ	Capernaum	settlement	LUK 4:23!38; LUK 4:31!8; LUK 7:1!28; LUK 10:15!6
κάλαμος-1	κάλαμος	reed	grasses	LUK 7:24!38
κάμηλος	κάμηλος	camel	mammals	LUK 18:25!8
κάρφος	κάρφος	speck; splinter	parts	LUK 6:41!10; LUK 6:42!22; LUK 6:42!78
κενός	κενός	empty; emptyhanded; to no purpose; without result; foolish; senseless	purpose	LUK 1:53!14; LUK 20:10!44; LUK 20:11!26
κεράμιον	κεράμιον	jar; vessel	artifacts; household	LUK 22:10!28
κεράτιον	κεράτιον	carob pod	trees; fruits	LUK 15:16!12
κέραμος	κέραμος	tile; roof tile	artifacts; buildings	LUK 5:19!32
κηρύσσω	κηρύσσω	proclaim, announce	communication	LUK 3:3!18; LUK 4:18!26; LUK 4:19!2; LUK 4:44!6; LUK 8:1!26; LUK 8:39!38; LUK 9:2!8; LUK 12:3!42; LUK 24:47!4
κήρυγμα	κήρυγμα	proclamation, preaching	communication	LUK 11:32!36
κιβωτός-1	κιβωτός	boat; ship; the ark	artifacts; transportation	LUK 17:27!24
κλάδος	κλάδος	branch	parts	LUK 13:19!52
κλείς	κλείς	key	artifacts	LUK 11:52!16
Κλεοπᾶς	Κλεοπᾶς	Cleopas	person	LUK 24:18!10
κλινίδιον	κλινίδιον	cot; pallet; stretcher	artifacts; furnishings	LUK 5:19!42; LUK 5:24!50
κλίβανος	κλίβανος	oven	constructions; food	LUK 12:28!24
κλίνη	κλίνη	bed; couch; cot; stretcher; bier	artifacts; furnishings	LUK 5:18!12; LUK 8:16!20; LUK 17:34!18
κοινωνός	κοινωνός	partner; partaker; sharer	people; fellowship; association	LUK 5:10!22
κόκκος	κόκκος	seed	agriculture	LUK 13:19!6; LUK 17:6!18
κόραξ	κόραξ	raven	birds	LUK 12:24!6
κόσμος	κόσμος	world	universe	LUK 9:25!14; LUK 11:50!24; LUK 12:30!14
κόφινος	κόφινος	large basket	artifacts; containers	LUK 9:17!24
κράσπεδον-1	κράσπεδον	fringe	artifacts; clothing	LUK 8:44!10
κριτής	κριτής	judge	people; occupations; court; law	LUK 11:19!38; LUK 12:14!18; LUK 12:58!46; LUK 12:58!52; LUK 18:2!4; LUK 18:6!16
κρίμα	κρίμα	judgment, verdict; condemnation	court; guilt, responsibility; repay, reward, punish	LUK 20:47!28; LUK 23:40!34; LUK 24:20!24
κρίνον	κρίνον	wild flower	plants	LUK 12:27!6
κρίνω-1	κρίνω	to rule, govern	authority	LUK 22:30!40
κρίνω-2	κρίνω	to judge; be judged (pass.); sue; decide; esteem; be considered (pass.)	intellect; choice	LUK 6:37!6; LUK 6:37!14; LUK 7:43!30; LUK 12:57!14; LUK 19:22!14
κρίσις-1	κρίσις	judgment, decision; accusation, condemnation	court; guilt, responsibility; repay, reward, punish	LUK 10:14!18; LUK 11:31!12; LUK 11:32!12
κρίσις-2	κρίσις	justice, fairness	morals and ethics; repay, reward, punish	LUK 11:42!38
κτήνος	κτήνος	beast of burden; riding animal; cattle	mammals; domestic animals	LUK 10:34!34
Κυρηναῖος	Κυρηναῖος	Cyrenian	group	LUK 23:26!16
Κυρήνιος	Κυρήνιος	Quirinius	person	LUK 2:2!16
κύριος	κύριος	master, owner, lord, Lord	people; authority	LUK 1:6!32; LUK 1:9!28; LUK 1:11!10; LUK 1:15!12; LUK 1:16!16; LUK 1:17!44; LUK 1:25!10; LUK 1:28!18; LUK 1:32!22; LUK 1:38!14; LUK 1:43!20; LUK 1:45!24; LUK 1:46!18; LUK 1:58!22; LUK 1:66!40; LUK 1:68!4; LUK 1:76!22; LUK 2:9!6; LUK 2:9!16; LUK 2:11!18; LUK 2:15!60; LUK 2:22!38; LUK 2:23!10; LUK 2:23!26; LUK 2:24!22; LUK 2:26!38; LUK 2:39!18; LUK 3:4!34; LUK 4:8!16; LUK 4:12!22; LUK 4:18!4; LUK 4:19!6; LUK 5:8!34; LUK 5:12!52; LUK 5:17!62; LUK 6:5!8; LUK 6:46!10; LUK 6:46!12; LUK 7:6!44; LUK 7:13!10; LUK 7:19!8; LUK 9:54!18; LUK 9:59!20; LUK 9:61!14; LUK 10:1!12; LUK 10:2!32; LUK 10:17!18; LUK 10:21!32; LUK 10:27!12; LUK 10:39!28; LUK 10:40!22; LUK 10:41!12; LUK 11:1!40; LUK 11:39!8; LUK 12:36!14; LUK 12:37!16; LUK 12:41!10; LUK 12:42!8; LUK 12:42!32; LUK 12:43!16; LUK 12:45!26; LUK 12:46!6; LUK 12:47!20; LUK 13:8!12; LUK 13:15!10; LUK 13:23!10; LUK 13:25!40; LUK 13:35!46; LUK 14:21!14; LUK 14:22!10; LUK 14:23!8; LUK 16:3!22; LUK 16:5!16; LUK 16:5!32; LUK 16:8!8; LUK 16:13!10; LUK 17:5!12; LUK 17:6!8; LUK 17:37!12; LUK 18:6!8; LUK 18:41!16; LUK 19:8!14; LUK 19:8!28; LUK 19:16!12; LUK 19:18!18; LUK 19:20!12; LUK 19:25!8; LUK 19:31!26; LUK 19:33!16; LUK 19:34!12; LUK 19:38!18; LUK 20:13!8; LUK 20:15!26; LUK 20:37!28; LUK 20:42!18; LUK 20:42!22; LUK 20:44!6; LUK 22:33!10; LUK 22:38!8; LUK 22:49!18; LUK 22:61!8; LUK 22:61!30; LUK 24:3!16; LUK 24:34!12
κύων	κύων	dog	mammals; domestic animals	LUK 16:21!30
Κωσάμ	Κωσάμ	Cosam	person	LUK 3:28!12
λαός	λαός	nation, people	people; groups	LUK 2:31!14
λατρεύω	λατρεύω	serve; worship	authority; worship	LUK 1:74!12; LUK 2:37!32; LUK 4:8!32
Λάζαρος-2	Λάζαρος	Lazarus	person	LUK 16:20!10; LUK 16:23!34; LUK 16:24!22; LUK 16:25!32
Λάμεχ	Λάμεχ	Lamech	person	LUK 3:36!20
λάχανον	λάχανον	garden plant	agriculture; food	LUK 11:42!30
Λεγιών	Λεγιών	Legion	supernatural beings and powers	LUK 8:30!26
λειτουργία	λειτουργία	service; priestly service; divine service	authority; worship; serve	LUK 1:23!16
λεπρός	λεπρός	leper; leprous	people; health; diseases	LUK 4:27!6; LUK 7:22!32; LUK 17:12!20
λεπτόν	λεπτόν	lepton; tiny coin	artifacts; money	LUK 12:59!22; LUK 21:2!16
Λευί-1	Λευί	Levi	person	LUK 5:27!18; LUK 5:29!10
Λευί-3	Λευί	Levi	person	LUK 3:24!8
Λευί-4	Λευί	Levi	person	LUK 3:29!20
Λευίτης	Λευίτης	Levite	group; priesthood	LUK 10:32!8
λέπρα	λέπρα	leprosy	health; diseases	LUK 5:13!26
Λυσανίας	Λυσανίας	Lysanias	person	LUK 3:1!62
λυτρόω	λυτρόω	redeem	help, protect, save	LUK 24:21!18
λυχνία	λυχνία	lampstand	artifacts; furnishings	LUK 8:16!28; LUK 11:33!28
λύκος	λύκος	wolf	mammals; wild animals	LUK 10:3!18
λύτρωσις	λύτρωσις	redemption, deliverance, liberation	help, protect, save	LUK 1:68!22; LUK 2:38!32
λύχνος	λύχνος	lamp	artifacts	LUK 8:16!6; LUK 11:33!4; LUK 11:34!4; LUK 11:36!38; LUK 12:35!16; LUK 15:8!26
Λώτ	Λώτ	Lot	person	LUK 17:28!14; LUK 17:29!10; LUK 17:32!8
Μαγδαληνή	Μαγδαληνή	Magdalene	person	LUK 8:2!30; LUK 24:10!8
