"LouwNida_Code","SemDom","SemDom_Name"
"63B Unite","4.1.5;7.5.2","Join, attach;Unity"
"63C Mix","7.5.3","Mix"
"63D Part","8.1.6.1","Part"
"63E Remnant","8.1.7.4","Remain, remainder"
"63F Divide","7.8","Divide into pieces"
"63G Separate","7.5.1.1","Separate, scatter"
"64 Comparison","8.3.5.2","Compare"
"65 Value","8.3.7.9","Value"
"65A Valuable, Lacking in Value","8.3.7.9","Value"
"65B Worthy, Not Worthy","8.3.7.9","Value"
"65C Good, Bad","8.3.7","Good"
"65D Useful, Useless","6.1.2.2;6.1.2.2.1;6.1.2.2.2","Use;Useful;Useless"
"65E Advantageous, Not Advantageous","6.1.2.2;6.1.2.2.1;6.1.2.2.2","Use;Useful;Useless"
"65F Important, Unimportant","8.3.7.5","Important"
"66 Proper, Improper","8.3.7.7;8.3.7.7.1","Right, proper;Wrong, unsuitable"
"67 Duration of Time","8.4.6","Aspectual time"
"67 Points of Time","8.4.1.2.3;8.4.5","Relative time;Time of the day"
"67 Time","8.4","Time"
"67 Units of Time","8.4.1","Period of time"
"67A A Point of Time without Reference to Other Points of Time: Time, Occasion, Ever, Often","8.4.3","Indefinite time"
"67B A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After","8.4.5","Relative time"
"67C A Point of Time with Reference to Duration of Time: Beginning, End","8.4.6.1.3","End"
"67D A Point of Time with Reference to Units of Time: Daybreak, Midday, Midnight, Late","8.4.1.2.3","Time of the day"
"67E Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young","8.4.2","Take time"
"67F Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From","8.4.6","Aspectual time"
"67G Duration of Time with Reference to Some Unit of Time: During, In, While, Throughout","8.4.5.2.2;8.4.5.2.3","At the same time;During"
"67H Indefinite Units of Time: Age, Lifetime, Interval, Period","8.4.1","Period of time"
"67I Definite Units of Time: Year, Month, Week, Day, Hour","8.4.1","Period of time"
"67J Units of Time with Reference to Other Units or Points of Time: Yesterday, Today, Next Day","8.4.1.2;8.4.1.2.2","Day;Yesterday, today, tomorrow"
"68 Aspect","8.4.6","Aspectual time"
"68A Begin, Start","8.4.6.1","Start something"
"68B Continue","8.4.7","Continue, persevere"
"68C Complete, Finish, Succeed","6.1.2.3.5;6.1.3;6.1.3.2","Complete, finish;Difficult, impossible;Succeed"
"68D Cease, Stop","7.2.7;7.2.7.1","Not moving;Stop moving"
"68E Try, Attempt","6.1.2;6.1.2.1","Method;Try, attempt"
"68F Do Intensely or Extensively","6.1.2.3","Work well"
"68G Rapidity, Suddenness","8.4.6.4;8.4.6.4.4;8.4.8;8.4.8.3","Future;Immediately;Speed;Sudden"
"69 Affirmation, Negation","9.4.6","Yes"
"69A Affirmation","9.4.6","Yes"
"69B Negation","9.4.6.1","No, not"
"69C Negation Combined with Clitics","9.4.6.1","No, not"
"69D Markers for an Affirmative Response to Questions","9.4.6.2","Markers expecting an affirmative answer"
"69E Markers for an Negative Response to Questions","9.4.6.3","Markers expecting a negative answer"
"6A Artifacts","6.7","Tool"
"6B Instruments Used in Agriculture and Husbandry","6.2.8","Agricultural tool"
"6C Instruments used in Fishing","6.4.5;6.4.5.3","Fishing;Fishing equipment"
"6D Instruments Used in Binding and Fastening","6.7.5;7.5.4.1","Fastening tool;Rope, string"
"6E Traps, Snares","6.4.2","Trap"
"6F Instruments Used in Punishment and Execution","4.7.7.4","Execute"
"6G Weapons and Armor","4.8.3.7","Weapon, shoot"
"6H Boats and Parts of Boats","7.2.4.2.1","Boat"
"6I Vehicles","7.2.4.1;7.2.4.1.1","Travel by land;Vehicle"
"6J Instruments Used in Marking and Writing","3.5.7;3.5.7.1","Reading and writing;Write"
"6K Money and Monetary Units","6.8.6","Money"
"6L Musical Instruments","4.2.3.5","Musical instrument"
"6M Images and Idols","4.9.8;4.9.8.1","Idol;Religious things"
"6N Lights and Light Holders","8.3.3.1;8.3.3.1.1","Light source;Shine"
"6O Furniture","5.1;5.1.1","Furniture;Household equipment"
"6P Containers","6.7.7","Container"
"6Q Cloth, Leather, and Objects Made of Such Materials","5.3","Clothing"
"6R Adornments","5.4.1","Jewelry"
"6S Plant Products","6.2.5;6.2.5.4","Harvest;Plant product"
"6T Medicines","2.5.7;2.5.7.2","Medicine;Treat disease"
"6U Perfumes and Incense","5.4.5","Anoint the body"
"6V Instruments for Measuring","8.2.8","Measure"
"6W Miscellaneous","6.7","Tool"
"7 Constructions","6.5","Working with buildings"
"70 Real, Unreal","3.5.1.3.5","Real"
"71 Mode","9.4;9.4.2;9.4.4","Agent-oriented modalities;Epistemic moods;Semantic constituents related to verbs"
"71A Possible, Impossible","9.4.4.4;9.4.4.9","Impossible;Possible"
"71B Probable, Improbable","9.4.4.3","Probably"
"71C Certain, Uncertain","9.4.4.1;9.4.4.5","Certainly, definitely;Uncertain"
"71D Should, Ought","9.4.3;9.4.3.2","Hortative;Moods"
"71E Necessary, Unnecessary","9.4.2.3","Necessary"
"72 True, False","3.5.1.3","True"
"72A True, False","3.5.1.3","True"
"72B Accurate, Inaccurate","3.5.1.3","True"
"73 Genuine, Phony","3.5.1.3.5","Real"
"74 Able, Capable","9.4.2.1","Can"
"75 Adequate, Qualified","6.1.2.3","Work well"
"76 Power, Force","6.1.2.3.4","Power, force"
"77 Ready, Prepared","6.1.2.6","Prepare"
"78 Degree","9.3;9.3.1","Degree;Very"
"78A Much, Little","9.3.1.1;9.3.1.2","To a large degree;To a small degree"
"78B More Than, Less Than","9.3.1.3;9.3.1.4","To a larger degree;To a smaller degree"
"78C About, Approximately, Almost, Hardly","8.1.5.8;8.1.5.8.1","Approximate;Exact"
"78D Completely, Enough","9.3.2","Completely"
"78E Up to, As Much As, To the Degree That","9.3;9.3.1","Degree;Very"
"79 Features of Objects","8.3","Quality"
"79A Physical, Spiritual","9.1.3;9.1.3.1","Physical, non-physical;Thing"
"79A' Rolled up","8.3.1.5.1","Roll up"
"79B Natural, Spiritual","1.7;1.7.1;9.1.3;9.1.3.1","Natural;Nature, environment;Physical, non-physical;Thing"
"79B' Large, Small","8.2;8.2.1","Big;Small"
"79C Solid, Liquid","1.2.3","Solid, liquid, gas"
"79C' Perfect","8.3.7.3","Perfect"
"79D Beautiful, Ugly","2.3.1.8.1;2.3.1.8.2","Beautiful;Ugly"
"79E Glorious","8.3.8;8.3.8.2","Decorated;Glory"
"79F Transparent","2.3.1.6","Transparent"
"79G Color","8.3.3.3","Color"
"79H Sweet, Bitter, Tasteless","2.3.3","Taste"
"79I Fragrance, Odor","2.3.4","Smell"
"79J Clean, Dirty","5.6.1","Clean, dirty"
"79K Spotted, Spotless","5.6.1","Clean, dirty"
"79L Blemished, Unblemished","8.3.7.8.2","Blemish"
"79M Strong, Weak","2.4;2.4.1;2.4.2;8.3.6.1","Body condition;Strong;Strong, brittle;Weak"
"79N Hot, Lukewarm, Cold","8.3.4;8.3.4.1","Cold;Hot"
"79O Wet, Dry","1.3.3;1.3.3.1","Dry;Wet"
"79P Uneven, Level","8.3.2;8.3.2.2","Rough;Texture"
"79Q Straight, Crooked","8.3.1.3;8.3.1.5","Bend;Straight"
"79R Two-Dimensional and Three-Dimensional Shapes","8.3.1","Shape"
"79S Sharp","8.3.2.3","Sharp"
"79T Pure, Unadulterated, Undiluted","7.5.3.1","Pure, unmixed"
"79U Soft, Tender","8.3.6.5","Soft, flimsy"
"79V Male, Female","2.6.5","Male, female"
"79W Shapes","8.3.1","Shape"
"79X Open, Closed","7.3.6","Open"
"79Y Covered Over","7.3.7","Cover"
"79Z Wrapped","7.3.7.2","Wrap"
"7A Constructions","6.5","Working with buildings"
"7B Buildings","6.5.1","Building"
"7C Parts and Areas of Buildings","6.5.2","Parts of a building"
"7D Open Constructions","6.5.1","Building"
"7E Constructions for Holding Water","6.6.7","Working with water"
"7F Walls and Fences","6.5.1.5;6.5.2.1","Fence, wall;Wall"
"7G Miscellaneous Constructions","2.6.6.6;6.2.6;6.2.6.1;6.2.6.2;6.6.2;6.6.2.3;6.6.2.4;6.6.2.5","Grave;Mill grain;Process harvest;Winnow grain;Working with clay;Working with glass;Working with metal;Working with minerals"
"7H Building Materials","6.5.3","Building materials"
"8 Body, Body Parts, and Body Products","2.1","Body"
"80 Space","8.5.4","Area"
"80A Space, Place","8.5.4;8.5.4.1","Area;Vicinity"
"80B Limits, Boundaries of Space","6.5.4.2;7.3.6.3","Boundary;Limit"
"81 Spatial Dimensions","8.2.8","Measure"
"81A Measure, To Measure","8.2.8","Measure"
"81B High, Low, Deep","8.2.2.2;8.2.6.3;8.2.6.4;8.2.6.5","Deep, shallow;High;Low;Tall"
"81C Long, Short, Far","8.2.2;8.2.2.1;8.2.2.3","Long;Short, not long;Short, not tall"
"81D Narrow, Wide","8.2.3;8.2.3.1;8.2.3.2;8.2.3.3;8.2.4;8.2.4.1","Fat person;Narrow;Thick;Thin person;Thin thing;Wide"
"81E Specific Measures of Volume","8.2.5;8.2.5.1","Big area;Big container, volume"
"81F Specific Measures of Length","8.2.2","Long"
"82 Spatial Orientation","8.5.2","Direction"
"82A North, South, East, West","8.5.2.8","North, south, east, west"
"82B Left, Right, Straight Ahead, Opposite","8.5.2","Direction"
"83 Spatial Positions","8.5","Location"
"83A Here, There","8.5.1","Here, there"
"83B Where, Somewhere, Everywhere","8.5","Location"
"83C Among, Between, In, Inside","8.5.1.2.2;8.5.1.4","Between;Inside"
"83D Around, About, Outside","8.5.1.2.1;8.5.1.4.1","Around;Out, outside"
"83E At, Beside, Near, Far","8.5.1.2;8.5.3","Be at a place;Beside"
"83E At, Beside, Near, Far x","8.2.6;8.2.6.1;8.2.6.2;8.5.1.5;8.5.1.5.1","Distance;Far;Near;Next to;Touching, contact"
"83F In Front Of, Face To Face, In Back Of, Behind","8.5.1.1","In front of"
"83G Opposite, Over Against, Across From, Offshore From","8.5.1.6","Across"
"83H On, Upon, On the Surface Of","8.5.1.3","On"
"83I Above, Below","8.5.1.3.1","Above"
"83J Beyond, On the Other Side Of","8.5.1.6","Across"
"84 Spatial Extensions","7.3.4.7","Extend"
"84A Extension From a Source","7.3.4.7","Extend"
"84B Extension To a Goal","7.3.4.7","Extend"
"84C Extension Along a Path","7.3.4.7","Extend"
"85 Existence in Space","8.5.3","Be at a place"
"85A Be in a Place","8.5.3","Be at a place"
"85B Put, Place","7.3.4.3;7.5.9","Put;Put down"
"85C Remain, Stay","7.2.7.2","Stay, remain"
"85D Leave in a Place","7.4.5;7.4.5.1","Keep something;Leave something"
"85E Dwell, Reside","5.9","Live, stay"
"86 Weight","8.2.9","Weigh"
"86A Heavy, Light","8.2.9.1;8.2.9.2","Heavy;Light in weight"
"86B Pound, Talent","8.2.9","Weigh"
"87 Status","4.5.6","Status"
"87A Position, Rank","4.5.6","Status"
"87B Honor or Respect in Relation to Status","4.5.5","Honor"
"87C High Status or Rank","4.5.6.1","High status"
"87D Low Status or Rank","4.5.6.2","Low status"
"87E Slave, Free","4.5.4.4","Slave"
"88 Moral and Ethical Qualities and Related Behavior","4.3","Behavior"
"88A Goodness","8.3.7","Good"
"88A' Arrogance, Haughtiness, Pride","4.3.2.3","Proud"
"88B Just, Righteous","4.3.1","Good, moral"
"88B' Stubbornness","3.3.1.7","Stubborn"
"88C Holy, Pure","4.3.1;4.9.5.6","Good, moral;Religious purification"
"88C' Hypocrisy, Pretense","4.3.5.6","Hypocrite"
"88D Perfect, Perfection","4.3.1.2;8.3.7.3","Meet a standard;Perfect"
"88D' Show Favoritism, Prejudice","4.7.9;4.7.9.4","Discriminate, be unfair;Justice"
"88E Honesty, Sincerity","3.5.1.3.1","Tell the truth"
"88E' Being a Busybody","4.3.4.6","Meddle"
"88F Modesty, Propriety","4.3.1.2;4.3.2.2","Humble;Meet a standard"
"88F' Laziness, Idleness","6.1.2.4;6.1.2.4.2","Lazy;Work poorly"
"88G Humility","4.3.2.2","Humble"
"88G' Extravagant Living, Intemperate Living","4.3.6.1","Lack self-control"
"88H Gentleness, Mildness","4.4.4.3","Gentle"
"88H' Impurity","4.3.1.1","Bad, immoral"
"88I Kindness, Harshness","4.3.4","Do good to"
"88I' Licentiousness, Perversion","4.3.1.1","Bad, immoral"
"88J Mercy, Merciless","4.4.4.1","Mercy"
"88J' Sexual Misbehavior","2.6.2.3","Sexual immorality"
"88K Self-Control, Lack of Self-Control","4.3.6;4.3.6.1","Lack self-control;Self-controlled"
"88K' Drunkenness","5.2.3.7;5.2.3.7.2","Alcoholic beverage;Drunk"
"88L Sensible Behavior, Senseless Behavior","4.3.1.3.2","Sensible"
"88L' Sin, Wrongdoing, Guilt","4.3.1.1","Bad, immoral"
"88M Mature Behavior","4.3.1.3;4.3.1.3.1","Immature in behavior;Mature in behavior"
"88N Peaceful Behavior","4.8.4","Peace"
"88O Bad, Evil, Harmful, Damaging","8.3.7.1","Bad"
"88P Treat Badly","4.3.4.1","Do evil to"
"88Q Act Harshly","4.7.9.5","Act harshly"
"88R Act Lawlessly","4.7.3","Break the law"
"88S Exploit","6.8.9.2","Cheat"
"88T Act Shamefully","3.4.2.2.1;4.3.1.1","Ashamed;Bad, immoral"
"88U Mislead, Lead Astray, Deceive","4.3.5;4.3.5.5","Deceive;Honest"
"88V Envy, Jealousy","3.4.2.1.8","Jealous"
"88W Resentful, Hold a Grudge Against","3.4.2.3","Angry"
"88X Anger, Be Indignant With","3.4.2.3","Angry"
"88Y Despise, Scorn, Contempt","4.3.2;4.3.2.1","Admire someone;Despise someone"
"88Z Hate, Hateful","3.4.2.1.2;4.3.3.1","Hate, detest;Hate, ill will"
"89 Relations","9.6","Connected with, related"
"89A Relation","4;4.1;9.6","Connected with, related;Relationships;Social behavior"
"89B Dependency","9.6.2","Dependency relations"
"89C Derivation","9.6.2.1","Derivation"
"89D Specification","9.6.2.2","Limitation of topic"
"89E Relations Involving Correspondence","9.6.2.3","Relations involving correspondences"
"89F Basis","9.6.2.4","Basis"
"89G Cause and/or Reason","9.6.2.5;9.6.2.5.1;9.6.2.5.2","Cause;Reason;Without cause"
"89H Result","9.6.2.6;9.6.2.6.1","Result;Without result"
"89I Purpose","3.3.1.1;9.6.2.7;9.6.2.7.1","Purpose;Purpose, goal;Without purpose"
"89J Condition","9.6.2.8","Condition"
"89K Concession","9.6.2.9","Concession"
"89L Means","9.5.1.3","Means"
"89M Attendant Circumstances","9.5.1.5","Attendant circumstances"
"89N Manner","9.5.1.4","Way, manner"
"89O Sequential Addition","8.4.5.2.1","After"
"89P Distribution","9.6.1.7","Distribution"
"89Q Addition","9.6.1;9.6.1.1","And, also;Coordinate relations"
"89R Linkage","9.5.3;9.5.3.3","Patient-related cases;With (a patient)"
"89S Equivalence","9.6.1.8","Equivalence"
"89T Association","4;4.1","Relationships;Social behavior"
"89U Dissociation","9.6.1.6","Dissociation"
"89V Combinative Relation","9.6.1.4","Combinative relation"
"89W Contrast","9.6.1.5","But"
"89X Alternative Relation","9.6.1.2","Or, either"
"89Y Substance","8.3.6","Made of, material"
"89Z Mediation","4;4.1","Relationships;Social behavior"
"8A Body","2.1","Body"
"8B Parts of the Body","2.1","Body"
"8C Physiological Products of the Body","2.2","Body functions"
"9 People","2","Person"
"90 Case","9.5","Case"
"90A Agent, Personal or Nonpersonal, Causative or Immediate, Direct or Indirect","9.5","Case"
"90B Instrument","9.5.1.2","Instrument"
"90C Source of Event or Activity","9.5","Case"
"90D Responsibility","9.5","Case"
"90E Viewpoint Participant","9.5","Case"
"90F Content","9.5","Case"
"90G Guarantor Participant with Oaths","9.5","Case"
"90H Opposition","9.5","Case"
"90I Benefaction","9.5.1;9.5.1.1","Beneficiary of an event;Primary cases"
"90J Reason Participant","9.5","Case"
"90K Agent of a Numerable Event","9.5","Case"
"90L Agent in a Causative Role Marked by Verbs","9.5","Case"
"90M Experiencer","9.5","Case"
"90N To Cause To Experience","9.5","Case"
"91 Discourse Markers","9.6.3","Discourse markers"
"91A Markers of Transition","9.6.3.1","Markers of transition"
"91B Markers of Emphasis","9.6.3.2","Markers of emphasis"
"91C Prompters of Attention","9.6.3.3","Prompters of attention"
"91D Markers of Direct Address","9.6.3.4","Markers of direct address"
"91E Markers of Identificational and Explanatory Clauses","9.6.3.5","Markers of identificational and explanatory clauses"
"92 Discourse Referentials","9.2;9.2.3","Part of speech;Pronouns"
"92A Speaker","9.2;9.2.3","Part of speech;Pronouns"
"92B Speaker and Those Associated with the Speaker","9.2;9.2.3","Part of speech;Pronouns"
"92C Receptor, Receptors","9.2;9.2.3","Part of speech;Pronouns"
"92D Whom or What Spoken or Written About","9.2;9.2.3","Part of speech;Pronouns"
"92E Reciprocal Reference","9.2.3.1","Reflexive pronouns"
"92F Relative Reference","9.2.3.3","Relative pronouns"
"92G Demonstrative or Deictic Reference","9.2.3.5","Demonstrative pronouns"
"92H Emphatic Adjunct","9.2;9.2.3","Part of speech;Pronouns"
"93 Names of Persons and Places","9.7","Name"
"93A Persons","9.7.1","Name of a person"
"93B Places","9.7.2","Name of a place"
"9A Human Beings","2","Person"
"9B Males","1.6.7;2.6.5.1","Male and female animals;Man"
"9C Females","1.6.7;2.6.5.2","Male and female animals;Woman"
"9D Children","2.6.4;2.6.4.2","Child;Stage of life"
"9E Persons For Whom There Is Affectionate Concern","9.7.1","Name of a person"
