Greek_Word	Ln_Domain	SemDom	SemDom_Name	Total_Unique_References	Refs
Καίσαρος	37D;93A	4.6;4.6.4;9.7.1	Government;Rule;Name of a person	2	LUK 2:1!10; LUK 3:1!8
Καίσαρος	93A	9.7.1	Name of a person	2	LUK 20:24!12; LUK 20:25!9
Καλύψατε	79Y	7.3.7	Cover	1	LUK 23:30!12
Καλὸν	65C	8.3.7	Good	1	LUK 14:34!1
Κατακλίνατε	17F	7.1.3	Lie down	1	LUK 9:14!12
Καφαρναούμ	93B	9.7.2	Name of a place	2	LUK 10:15!3; LUK 7:1!14
Καφαρναοὺμ	93B	9.7.2	Name of a place	2	LUK 4:23!19; LUK 4:31!4
Καϊάφα	93A	9.7.1	Name of a person	1	LUK 3:2!5
Καϊνὰμ	93A	9.7.1	Name of a person	2	LUK 3:36!2; LUK 3:37!10
Καύσων	14H	5.5.4	Burn	1	LUK 12:55!7
Καὶ	89O	8.4.5.2.1	After	8	LUK 10:23!1; LUK 13:20!1; LUK 19:29!1; LUK 1:59!1; LUK 20:34!1; LUK 3:10!1; LUK 4:5!1; LUK 5:29!1
Καὶ	89Q	9.6.1;9.6.1.1	And, also;Coordinate relations	7	LUK 11:46!4; LUK 19:19!5; LUK 22:56!14; LUK 22:58!8; LUK 2:52!1; LUK 4:43!7; LUK 6:32!1
Καὶ	91A	9.6.3.1	Markers of transition	58	LUK 10:25!1; LUK 11:1!1; LUK 11:14!1; LUK 11:5!1; LUK 13:22!1; LUK 14:1!1; LUK 17:11!1; LUK 17:5!1; LUK 18:18!1; LUK 19:1!1; LUK 19:28!1; LUK 19:41!1; LUK 19:45!1; LUK 19:47!1; LUK 1:21!1; LUK 1:46!1; LUK 1:67!1; LUK 20:1!1; LUK 20:20!1; LUK 21:25!1; LUK 21:29!1; LUK 22:14!1; LUK 22:35!1; LUK 22:39!1; LUK 22:63!1; LUK 22:66!1; LUK 23:1!1; LUK 23:26!1; LUK 23:44!1; LUK 23:50!1; LUK 23:56!7; LUK 24:13!1; LUK 24:28!1; LUK 2:15!1; LUK 2:21!1; LUK 2:22!1; LUK 2:25!1; LUK 2:36!1; LUK 2:39!1; LUK 2:41!1; LUK 2:8!1; LUK 3:23!1; LUK 4:14!1; LUK 4:16!1; LUK 4:31!1; LUK 5:12!1; LUK 5:17!1; LUK 5:27!1; LUK 6:17!1; LUK 6:20!1; LUK 6:37!1; LUK 7:11!1; LUK 7:18!1; LUK 8:1!1; LUK 8:26!1; LUK 9:10!1; LUK 9:18!1; LUK 9:57!1
Καὶ	91B	9.6.3.2	Markers of emphasis	3	LUK 10:29!10; LUK 18:26!5; LUK 19:46!4
Κλεοπᾶς	93A	9.7.1	Name of a person	1	LUK 24:18!5
Κρανίον	8B	2.1	Body	1	LUK 23:33!9
Κριτής	56E	4.7.6	Judge, render a verdict	1	LUK 18:2!2
Κυρηνίου	93A	9.7.1	Name of a person	1	LUK 2:2!8
Κυρηναῖον	93B	9.7.2	Name of a place	1	LUK 23:26!8
Κωσὰμ	93A	9.7.1	Name of a person	1	LUK 3:28!6
Κύριε	12A	4.9.2	Supernatural being	11	LUK 10:17!9; LUK 10:40!11; LUK 11:1!20; LUK 12:41!5; LUK 13:23!5; LUK 18:41!8; LUK 22:33!5; LUK 22:38!4; LUK 22:49!9; LUK 6:46!5; LUK 9:54!9
Κύριε	12A;87C	4.9.2;4.5.6.1	Supernatural being;High status	2	LUK 5:12!26; LUK 7:6!22
Κύριε	57A	6.8.1	Have wealth	5	LUK 13:8!6; LUK 14:22!5; LUK 19:16!6; LUK 19:20!6; LUK 19:25!4
Κύριε	87C	4.5.6.1	High status	2	LUK 13:25!20; LUK 9:59!10
Κύριον	12A	4.9.2	Supernatural being	1	LUK 4:8!8
Κύριός	37D	4.6;4.6.4	Government;Rule	1	LUK 6:5!4
Κἀγὼ	89Q;92A	9.6.1;9.6.1.1;9.2;9.2.3	And, also;Coordinate relations;Part of speech;Pronouns	1	LUK 11:9!1
Κἀκεῖθεν	84A	7.3.4.7	Extend	1	LUK 11:53!1
Λάβετε	18A	7.3.4.4	Hold	1	LUK 22:17!6
Λάζαρον	93A	9.7.1	Name of a person	2	LUK 16:23!17; LUK 16:24!11
Λάζαρος	93A	9.7.1	Name of a person	2	LUK 16:20!5; LUK 16:25!16
Λάμεχ	93A	9.7.1	Name of a person	1	LUK 3:36!10
Λέγει	33F	3.5.1	Say	1	LUK 22:11!7
Λέγω	33F	3.5.1	Say	5	LUK 12:4!1; LUK 12:8!1; LUK 19:40!4; LUK 22:34!4; LUK 7:9!15
Λίθον	2E	1.2.2.1;1.2.2.2	Rock;Soil, dirt	1	LUK 20:17!12
Λεγιών	93A	9.7.1	Name of a person	1	LUK 8:30!13
Λευίτης	53I	4.9.7.1	Religious person	1	LUK 10:32!4
Λευὶ	93A	9.7.1	Name of a person	2	LUK 3:24!4; LUK 3:29!10
Λευὶν	93A	9.7.1	Name of a person	1	LUK 5:27!9
Λευὶς	93A	9.7.1	Name of a person	1	LUK 5:29!5
Λυσανίου	93A	9.7.1	Name of a person	1	LUK 3:1!31
Λώτ	93A	9.7.1	Name of a person	2	LUK 17:28!7; LUK 17:32!4
Λὼτ	93A	9.7.1	Name of a person	1	LUK 17:29!5
Μάαθ	93A	9.7.1	Name of a person	1	LUK 3:26!2
Μάρθα	93A	9.7.1	Name of a person	4	LUK 10:38!15; LUK 10:40!3; LUK 10:41!7; LUK 10:41!8
Μή	69B	9.4.6.1	No, not	1	LUK 11:7!5
Μήτηρ	10B	4.1.9.1	Related by birth	1	LUK 8:21!7
Μήτι	69E	9.4.6.3	Markers expecting a negative answer	1	LUK 6:39!6
Μαγδαληνή	93A	9.7.1	Name of a person	1	LUK 8:2!15
Μαγδαληνὴ	93A	9.7.1	Name of a person	1	LUK 24:10!4
Μαθθαῖον	93A	9.7.1	Name of a person	1	LUK 6:15!2
Μαθθὰτ	93A	9.7.1	Name of a person	2	LUK 3:24!2; LUK 3:29!8
Μαθουσαλὰ	93A	9.7.1	Name of a person	1	LUK 3:37!2
Μακάριαι	25K	3.4.1.2	Happy	1	LUK 23:29!8
Μακάριοί	25K	3.4.1.2	Happy	1	LUK 6:22!1
Μακάριοι	25K	3.4.1.2	Happy	2	LUK 10:23!9; LUK 6:20!12
Μακάριος	25K	3.4.1.2	Happy	1	LUK 14:15!9
Μακαρία	25K	3.4.1.2	Happy	1	LUK 11:27!17
Μαλελεὴλ	93A	9.7.1	Name of a person	1	LUK 3:37!8
Μαρία	93A	9.7.1	Name of a person	4	LUK 24:10!5; LUK 24:10!9; LUK 2:19!3; LUK 8:2!12
Μαρίας	93A	9.7.1	Name of a person	1	LUK 1:41!8
Μαριάμ	93A	9.7.1	Name of a person	5	LUK 10:39!6; LUK 1:27!16; LUK 1:30!8; LUK 1:38!3; LUK 1:46!3
Μαριὰμ	93A	9.7.1	Name of a person	7	LUK 10:42!7; LUK 1:34!3; LUK 1:39!3; LUK 1:56!3; LUK 2:16!8; LUK 2:34!8; LUK 2:5!3
Ματταθίου	93A	9.7.1	Name of a person	2	LUK 3:25!2; LUK 3:26!4
Ματταθὰ	93A	9.7.1	Name of a person	1	LUK 3:31!6
Μεγαλύνει	33K'	3.5.1.7	Praise	1	LUK 1:46!4
Μελεὰ	93A	9.7.1	Name of a person	1	LUK 3:31!2
Μελχὶ	93A	9.7.1	Name of a person	2	LUK 3:24!6; LUK 3:28!2
