Greek_Word	Meaning	Is_Key_Term	Ln_Domain	SemDom	SemDom_Name	Total_Unique_References	Refs
εἶ	unknown	no	85A	8.5.3	Be at a place	1	LUK 15:31!10
εἶδαν	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	1	LUK 10:24!16
εἶδεν	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	4	LUK 15:20!13; LUK 21:1!3; LUK 21:2!1; LUK 5:2!2
εἶδον	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	5	LUK 19:37!27; LUK 24:24!21; LUK 2:20!15; LUK 2:30!2; LUK 9:32!13
εἶδος	unknown	no	24A;58B	2.3.1;2.5.4;2.5.4.1;2.3.1.8	Blind;Disabled;See;Appearance	1	LUK 9:29!8
εἶναί	unknown	no	13A	8;9.1.1	Be;States	3	LUK 14:26!35; LUK 14:27!13; LUK 14:33!15
εἶναί	unknown	no	85A	8.5.3	Be at a place	1	LUK 2:49!18
εἶναι	unknown	no	13A	8;9.1.1	Be;States	10	LUK 11:8!11; LUK 20:20!8; LUK 20:41!9; LUK 20:6!16; LUK 22:24!11; LUK 23:2!22; LUK 4:41!28; LUK 9:18!23; LUK 9:18!5; LUK 9:20!9
εἶναι	unknown	no	13C	9.1.1.1	Exist	1	LUK 20:27!10
εἶναι	unknown	no	58J	8.3.5.4	Pattern, model	1	LUK 2:4!22
εἶναι	unknown	no	85A	8.5.3	Be at a place	7	LUK 11:1!5; LUK 19:11!11; LUK 2:44!4; LUK 2:6!5; LUK 5:12!5; LUK 8:38!11; LUK 9:33!20
εἶπέν	unknown	no	33F	3.5.1	Say	2	LUK 11:1!13; LUK 9:57!7
εἶπαν	unknown	no	33F	3.5.1	Say	27	LUK 17:5!2; LUK 19:25!2; LUK 19:33!6; LUK 19:34!3; LUK 19:39!8; LUK 1:61!2; LUK 20:16!14; LUK 20:2!2; LUK 20:24!11; LUK 20:39!6; LUK 22:35!18; LUK 22:38!3; LUK 22:49!8; LUK 22:70!1; LUK 22:71!3; LUK 22:9!3; LUK 24:19!7; LUK 24:32!2; LUK 24:5!12; LUK 3:12!7; LUK 5:33!3; LUK 6:2!5; LUK 7:20!7; LUK 9:12!10; LUK 9:13!11; LUK 9:19!4; LUK 9:54!8
εἶπας	unknown	no	33F	3.5.1	Say	1	LUK 20:39!9
εἶπεν	unknown	no	31A	3.2.5	Opinion	3	LUK 16:3!1; LUK 18:4!9; LUK 7:39!8
εἶπεν	unknown	no	33F	3.5.1	Say	214	LUK 10:18!1; LUK 10:21!11; LUK 10:23!8; LUK 10:26!3; LUK 10:27!4; LUK 10:28!1; LUK 10:29!6; LUK 10:30!5; LUK 10:35!12; LUK 10:37!10; LUK 10:37!3; LUK 10:40!10; LUK 10:41!3; LUK 11:17!7; LUK 11:2!1; LUK 11:27!15; LUK 11:28!3; LUK 11:39!1; LUK 11:46!3; LUK 11:49!8; LUK 11:5!2; LUK 12:14!3; LUK 12:15!1; LUK 12:16!1; LUK 12:18!2; LUK 12:20!1; LUK 12:42!2; LUK 13:12!8; LUK 13:15!7; LUK 13:2!3; LUK 13:20!3; LUK 13:23!1; LUK 13:23!12; LUK 13:32!2; LUK 13:7!1; LUK 14:15!7; LUK 14:16!3; LUK 14:18!9; LUK 14:19!3; LUK 14:20!3; LUK 14:21!14; LUK 14:22!2; LUK 14:23!2; LUK 14:25!8; LUK 14:3!5; LUK 14:5!4; LUK 15:12!2; LUK 15:21!1; LUK 15:22!1; LUK 15:27!3; LUK 15:29!4; LUK 15:3!1; LUK 15:31!3; LUK 16:15!2; LUK 16:2!4; LUK 16:24!4; LUK 16:25!1; LUK 16:27!1; LUK 16:30!3; LUK 16:31!1; LUK 16:6!3; LUK 16:6!9; LUK 16:7!10; LUK 16:7!3; LUK 17:14!3; LUK 17:17!5; LUK 17:19!2; LUK 17:20!15; LUK 17:37!9; LUK 17:6!1; LUK 18:19!1; LUK 18:21!3; LUK 18:22!5; LUK 18:24!6; LUK 18:27!3; LUK 18:29!3; LUK 18:31!5; LUK 18:41!7; LUK 18:42!4; LUK 18:6!1; LUK 19:11!6; LUK 19:12!1; LUK 19:13!11; LUK 19:15!11; LUK 19:17!2; LUK 19:19!1; LUK 19:24!4; LUK 19:32!7; LUK 19:40!3; LUK 19:5!10; LUK 19:8!4; LUK 19:9!1; LUK 1:13!1; LUK 1:18!2; LUK 1:19!5; LUK 1:28!5; LUK 1:30!2; LUK 1:34!1; LUK 1:35!5; LUK 1:38!1; LUK 1:42!6; LUK 1:46!2; LUK 1:60!6; LUK 20:13!1; LUK 20:17!5; LUK 20:19!26; LUK 20:23!6; LUK 20:25!3; LUK 20:3!3; LUK 20:34!2; LUK 20:45!6; LUK 20:8!4; LUK 21:29!2; LUK 21:3!2; LUK 21:5!13; LUK 21:8!3; LUK 22:10!3; LUK 22:15!2; LUK 22:17!5; LUK 22:25!3; LUK 22:33!3; LUK 22:34!3; LUK 22:35!2; LUK 22:36!1; LUK 22:38!11; LUK 22:40!6; LUK 22:46!2; LUK 22:48!3; LUK 22:51!5; LUK 22:52!1; LUK 22:56!13; LUK 22:60!1; LUK 22:61!17; LUK 22:67!9; LUK 23:14!1; LUK 23:22!4; LUK 23:28!7; LUK 23:4!4; LUK 23:43!2; LUK 23:46!7; LUK 24:17!1; LUK 24:18!6; LUK 24:19!2; LUK 24:25!3; LUK 24:38!2; LUK 24:41!10; LUK 24:46!2; LUK 2:10!2; LUK 2:28!13; LUK 2:34!6; LUK 2:48!6; LUK 2:49!2; LUK 3:13!3; LUK 3:14!12; LUK 4:12!3; LUK 4:23!2; LUK 4:24!1; LUK 4:3!1; LUK 4:43!3; LUK 4:6!2; LUK 4:8!5; LUK 4:9!14; LUK 5:10!15; LUK 5:20!6; LUK 5:22!9; LUK 5:24!16; LUK 5:27!15; LUK 5:31!5; LUK 5:34!3; LUK 5:4!5; LUK 5:5!4; LUK 6:10!5; LUK 6:3!5; LUK 6:8!7; LUK 6:9!1; LUK 7:13!10; LUK 7:14!11; LUK 7:22!3; LUK 7:40!5; LUK 7:43!12; LUK 7:43!3; LUK 7:48!1; LUK 7:50!1; LUK 7:9!14; LUK 8:10!3; LUK 8:21!4; LUK 8:22!17; LUK 8:25!1; LUK 8:28!11; LUK 8:30!12; LUK 8:4!12; LUK 8:45!12; LUK 8:45!2; LUK 8:46!4; LUK 8:48!3; LUK 8:52!9; LUK 9:13!1; LUK 9:14!6; LUK 9:20!1; LUK 9:20!13; LUK 9:3!2; LUK 9:33!9; LUK 9:41!5; LUK 9:43!16; LUK 9:48!2; LUK 9:49!4; LUK 9:50!1; LUK 9:58!2; LUK 9:59!1; LUK 9:59!9; LUK 9:60!1; LUK 9:61!1; LUK 9:62!1; LUK 9:9!1
εἶπον	to command, to bid, to request	yes	33F	3.5.1	Say	2	LUK 11:15!5; LUK 24:24!17
εἶτα	unknown	no	67B	8.4.5	Relative time	1	LUK 8:12!9
εἶχέν	unknown	no	57A	6.8.1	Have wealth	1	LUK 13:6!7
εἶχεν	unknown	no	57A	6.8.1	Have wealth	3	LUK 15:11!5; LUK 16:1!12; LUK 21:4!22
εἶχον	unknown	no	57A	6.8.1	Have wealth	1	LUK 19:20!12
εἶχον	unknown	no	90M	9.5	Case	1	LUK 4:40!7
εἷς	unknown	no	60B	8.1.1.1	Cardinal numbers	4	LUK 17:15!1; LUK 17:34!12; LUK 18:10!9; LUK 7:41!7
εἷς	unknown	no	63A	8.1.6	Whole, complete	1	LUK 18:19!14
εἷς	unknown	no	92D	9.2;9.2.3	Part of speech;Pronouns	3	LUK 22:47!10; LUK 22:50!3; LUK 24:18!3
εὐαγγελίζεται	unknown	no	33O	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	1	LUK 16:16!14
εὐαγγελίζομαι	unknown	no	33O	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	1	LUK 2:10!10
εὐαγγελίζονται	unknown	no	33O	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	1	LUK 7:22!23
εὐαγγελίσασθαί	unknown	no	33O	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	2	LUK 1:19!21; LUK 4:43!11
εὐαγγελίσασθαι	unknown	no	33O	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	1	LUK 4:18!9
εὐαγγελιζομένου	unknown	no	33O	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	1	LUK 20:1!15
εὐαγγελιζόμενοι	unknown	no	33O	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	1	LUK 9:6!7
εὐαγγελιζόμενος	unknown	no	33O	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	1	LUK 8:1!15
εὐγενὴς	unknown	no	87C	4.5.6.1	High status	1	LUK 19:12!5
εὐδοκία	unknown	no	25H	3.4.1.1.8;3.4.1.2	Happy;Pleased with	1	LUK 10:21!37
εὐδοκίας	unknown	no	25H	3.4.1.1.8;3.4.1.2	Happy;Pleased with	1	LUK 2:14!11
εὐδόκησα	unknown	no	25H	3.4.1.1.8;3.4.1.2	Happy;Pleased with	1	LUK 3:22!27
εὐδόκησεν	unknown	no	25H	3.4.1.1.8;3.4.1.2	Happy;Pleased with	1	LUK 12:32!7
εὐεργέται	unknown	no	35A	4.3.4.2	Help	1	LUK 22:25!15
εὐηγγελίζετο	unknown	no	33O	3.5.2;3.5.2.1;3.5.3.2	Information;Make speech;Report	1	LUK 3:18!7
εὐθέως	unknown	no	67B	8.4.5	Relative time	5	LUK 12:36!18; LUK 12:54!12; LUK 14:5!15; LUK 21:9!16; LUK 5:13!11
εὐθείαν	unknown	no	79Q	8.3.1.3;8.3.1.5	Bend;Straight	1	LUK 3:5!15
εὐθείας	unknown	no	79Q	8.3.1.3;8.3.1.5	Bend;Straight	1	LUK 3:4!18
εὐθὺς	straight; upright	yes	67B	8.4.5	Relative time	1	LUK 6:49!22
εὐκαιρίαν	unknown	no	67A	8.4.3	Indefinite time	1	LUK 22:6!5
εὐκοπώτερον	unknown	no	22F	4.4.2	Trouble	2	LUK 18:25!1; LUK 5:23!3
εὐλαβής	unknown	no	53A	4.9.5	Practice religion	1	LUK 2:25!16
εὐλογεῖν	unknown	no	"33C"""	4.9.4.3;4.9.4.4	Bless;Curse	1	LUK 24:51!5
εὐλογεῖτε	unknown	no	"33C"""	4.9.4.3;4.9.4.4	Bless;Curse	1	LUK 6:28!1
εὐλογημένος	unknown	no	88I	4.3.4	Do good to	1	LUK 1:42!12
εὐλογοῦντες	unknown	no	33K'	3.5.1.7	Praise	1	LUK 24:53!8
εὐλογῶν	unknown	no	33K'	3.5.1.7	Praise	1	LUK 1:64!13
εὐλόγησεν	unknown	no	"33C"""	4.9.4.3;4.9.4.4	Bless;Curse	2	LUK 24:50!12; LUK 2:34!2
εὐλόγησεν	unknown	no	33K'	3.5.1.7	Praise	3	LUK 24:30!12; LUK 2:28!9; LUK 9:16!14
εὐτόνως	unknown	no	78A	9.3.1.1;9.3.1.2	To a large degree;To a small degree	1	LUK 23:10!8
εὐφραίνεσθαι	unknown	no	51	4.2.2;4.2.2.1;4.2.2.2;4.2.2.3	Celebrate;Ceremony;Festival, show;Social event	1	LUK 15:24!16
εὐφραίνου	unknown	no	51	4.2.2;4.2.2.1;4.2.2.2;4.2.2.3	Celebrate;Ceremony;Festival, show;Social event	1	LUK 12:19!17
εὐφραινόμενος	unknown	no	51	4.2.2;4.2.2.1;4.2.2.2;4.2.2.3	Celebrate;Ceremony;Festival, show;Social event	1	LUK 16:19!11
εὐφρανθῆναι	unknown	no	51	4.2.2;4.2.2.1;4.2.2.2;4.2.2.3	Celebrate;Ceremony;Festival, show;Social event	1	LUK 15:32!1
εὐφρανθῶ	unknown	no	51	4.2.2;4.2.2.1;4.2.2.2;4.2.2.3	Celebrate;Ceremony;Festival, show;Social event	1	LUK 15:29!28
εὐφρανθῶμεν	unknown	no	51	4.2.2;4.2.2.1;4.2.2.2;4.2.2.3	Celebrate;Ceremony;Festival, show;Social event	1	LUK 15:23!10
εὐφόρησεν	unknown	no	23L	1.5.6	Growth of plants	1	LUK 12:16!10
εὐχαριστήσας	unknown	no	33J'	3.5.1.7.1	Thank	2	LUK 22:17!4; LUK 22:19!4
εὐχαριστῶ	unknown	no	33J'	3.5.1.7.1	Thank	1	LUK 18:11!10
εὐχαριστῶν	unknown	no	33J'	3.5.1.7.1	Thank	1	LUK 17:16!9
εὑρέθη	unknown	no	27B	7.6;7.6.2	Find;Hide	3	LUK 15:24!13; LUK 15:32!18; LUK 9:36!7
εὑρέθησαν	unknown	no	27B	7.6;7.6.2	Find;Hide	1	LUK 17:18!2
εὑρήσει	unknown	no	27B	7.6;7.6.2	Find;Hide	3	LUK 12:37!9; LUK 12:43!10; LUK 18:8!17
εὑρήσετε	unknown	no	27B	7.6;7.6.2	Find;Hide	3	LUK 11:9!10; LUK 19:30!10; LUK 2:12!6
εὑρίσκει	unknown	no	27A	3.2.2	Learn	1	LUK 11:25!3
εὑρίσκει	unknown	no	27B	7.6;7.6.2	Find;Hide	1	LUK 11:10!9
εὑρίσκον	unknown	no	27B	7.6;7.6.2	Find;Hide	1	LUK 11:24!17
εὑρίσκω	unknown	no	27A	3.2.2	Learn	1	LUK 23:4!12
εὑρίσκω	unknown	no	27B	7.6;7.6.2	Find;Hide	1	LUK 13:7!20
εὑροῦσα	unknown	no	27B	7.6;7.6.2	Find;Hide	1	LUK 15:9!2
εὑροῦσαι	unknown	no	27B	7.6;7.6.2	Find;Hide	1	LUK 24:23!3
εὑρόντες	unknown	no	27A	3.2.2	Learn	1	LUK 5:19!3
εὑρόντες	unknown	no	27B	7.6;7.6.2	Find;Hide	1	LUK 2:45!3
εὑρὼν	unknown	no	27B	7.6;7.6.2	Find;Hide	1	LUK 15:5!2
εὔθετόν	unknown	no	65D	6.1.2.2;6.1.2.2.1;6.1.2.2.2	Use;Useful;Useless	1	LUK 14:35!7
εὔθετός	unknown	no	66	8.3.7.7;8.3.7.7.1	Right, proper;Wrong, unsuitable	1	LUK 9:62!16
εὕραμεν	unknown	no	27B	7.6;7.6.2	Find;Hide	1	LUK 23:2!7
εὕρισκον	unknown	no	27A	3.2.2	Learn	1	LUK 19:48!3
εὕρωσιν	unknown	no	27A	3.2.2	Learn	1	LUK 6:7!14
εὕρωσιν	unknown	no	27B	7.6;7.6.2	Find;Hide	1	LUK 9:12!25
εὕρῃ	unknown	no	27B	7.6;7.6.2	Find;Hide	3	LUK 12:38!12; LUK 15:4!27; LUK 15:8!23
εὗρεν	unknown	no	27B	7.6;7.6.2	Find;Hide	3	LUK 13:6!22; LUK 22:45!10; LUK 4:17!12
εὗρες	unknown	no	13A	8;9.1.1	Be;States	1	LUK 1:30!9
εὗρον	unknown	no	27A	3.2.2	Learn	3	LUK 23:22!15; LUK 24:2!1; LUK 24:24!11
εὗρον	unknown	no	27B	7.6;7.6.2	Find;Hide	11	LUK 15:6!17; LUK 15:9!12; LUK 19:32!5; LUK 22:13!3; LUK 23:14!20; LUK 24:3!4; LUK 24:33!10; LUK 2:46!6; LUK 7:10!8; LUK 7:9!23; LUK 8:35!12
ζήσασα	unknown	no	23G	2.6;2.6.6	Die;Life	1	LUK 2:36!15
ζήσεται	unknown	no	23G	2.6;2.6.6	Die;Life	1	LUK 4:4!13
ζήσῃ	unknown	no	23G	2.6;2.6.6	Die;Life	1	LUK 10:28!9
ζεῦγος	unknown	no	60G	8.1.1.5	Numbered group	1	LUK 2:24!12
ζημιωθείς	unknown	no	57G	6.8.2	Accumulate wealth	1	LUK 9:25!13
ζητήσουσιν	unknown	no	68E	6.1.2;6.1.2.1	Method;Try, attempt	1	LUK 13:24!11
ζητήσῃ	unknown	no	68E	6.1.2;6.1.2.1	Method;Try, attempt	1	LUK 17:33!3
ζητεῖ	unknown	no	27D	3.2.2.1	Study	1	LUK 15:8!19
ζητεῖ	unknown	no	68E	6.1.2;6.1.2.1	Method;Try, attempt	1	LUK 11:29!14
ζητεῖτε	unknown	no	25A	3.3	Want	2	LUK 12:29!4; LUK 12:31!2
ζητεῖτε	unknown	no	27D	3.2.2.1	Study	2	LUK 11:9!8; LUK 24:5!16
ζητηθήσεται	unknown	no	33L	3.3.2;3.5.1.5	Ask;Request	1	LUK 12:48!17
ζητοῦν	unknown	no	27D	3.2.2.1	Study	1	LUK 11:24!13
ζητῆσαι	unknown	no	27D	3.2.2.1	Study	1	LUK 19:10!7
ζητῶν	unknown	no	27D	3.2.2.1	Study	3	LUK 11:10!8; LUK 13:6!16; LUK 13:7!12
ζωγρῶν	unknown	no	37A	7.2.6.2	Prevent from moving	1	LUK 5:10!28
ζωὴ	life	yes	23G	2.6;2.6.6	Die;Life	1	LUK 12:15!18
ζωὴν	unknown	no	23G	2.6;2.6.6	Die;Life	3	LUK 10:25!12; LUK 18:18!11; LUK 18:30!16
ζωῇ	life	yes	23G	2.6;2.6.6	Die;Life	1	LUK 16:25!13
ζύμης	unknown	no	88C'	4.3.5.6	Hypocrite	1	LUK 12:1!22
ζύμῃ	unknown	no	5A	5.2	Food	1	LUK 13:21!3
ζώντων	unknown	no	23G	2.6;2.6.6	Die;Life	1	LUK 20:38!7
ζῆν	unknown	no	23G	2.6;2.6.6	Die;Life	1	LUK 24:23!16
ζῳογονήσει	unknown	no	23G	2.6;2.6.6	Die;Life	1	LUK 17:33!14
ζῶν	unknown	no	41A	4.3	Behavior	1	LUK 15:13!21
ζῶντα	unknown	no	23G	2.6;2.6.6	Die;Life	1	LUK 24:5!18
ζῶσιν	unknown	no	23G	2.6;2.6.6	Die;Life	1	LUK 20:38!11
ηὐλίζετο	unknown	no	67I	8.4.1	Period of time	1	LUK 21:37!13
ηὔξανε	unknown	no	23K	1.5.6;2.6.4.6;8.2.2.2	Grow, get bigger;Growth of plants;Tall	1	LUK 1:80!4
ηὔξανεν	unknown	no	23K	1.5.6;2.6.4.6;8.2.2.2	Grow, get bigger;Growth of plants;Tall	1	LUK 2:40!4
ηὔξησεν	unknown	no	23K	1.5.6;2.6.4.6;8.2.2.2	Grow, get bigger;Growth of plants;Tall	1	LUK 13:19!13
θάλασσαν	unknown	no	1J	1.3.1	Bodies of water	1	LUK 17:2!15
θάμβος	unknown	no	25T	3.4.1.3	Surprise	2	LUK 4:36!3; LUK 5:9!1
θάνατον	unknown	no	23G	2.6;2.6.6	Die;Life	2	LUK 22:33!15; LUK 2:26!12
θάψαι	unknown	no	35D	4.3.4.5.2	Care for	1	LUK 9:59!15
θάψαι	unknown	no	52	2.6.6.3;2.6.6.5	Bury;Funeral	1	LUK 9:60!7
θέλει	unknown	no	25A	3.3	Want	2	LUK 5:39!5; LUK 9:23!7
θέλει	unknown	no	30D	3.3.1.4	Intend	1	LUK 13:31!16
θέλεις	unknown	no	25A	3.3	Want	3	LUK 18:41!3; LUK 22:9!6; LUK 9:54!10
θέλετε	unknown	no	25A	3.3	Want	1	LUK 6:31!3
θέλημά	unknown	no	25A	3.3	Want	1	LUK 22:42!14
θέλημα	unknown	no	25A	3.3	Want	2	LUK 12:47!19; LUK 12:47!8
θέλοι	unknown	no	25A	3.3	Want	1	LUK 1:62!9
θέλομεν	unknown	no	25A	3.3	Want	1	LUK 19:14!14
θέλοντές	unknown	no	25A	3.3	Want	1	LUK 8:20!15
θέλοντες	unknown	no	25A	3.3	Want	1	LUK 16:26!14
θέλω	unknown	no	25A	3.3	Want	2	LUK 12:49!9; LUK 4:6!22
θέλων	unknown	no	25A	3.3	Want	1	LUK 23:8!14
θέλων	unknown	no	30D	3.3.1.4	Intend	3	LUK 10:29!3; LUK 14:28!5; LUK 23:20!6
θέλῃ	unknown	no	25A	3.3	Want	1	LUK 9:24!4
θέλῃς	unknown	no	30D	3.3.1.4	Intend	1	LUK 5:12!28
θέντος	unknown	no	85B	7.3.4.3;7.5.9	Put;Put down	1	LUK 14:29!3
θέρος	unknown	no	67I	8.4.1	Period of time	1	LUK 21:30!12
θέτε	unknown	no	30E	3.3.1	Decide, plan	1	LUK 21:14!1
θήσει	unknown	no	85B	7.3.4.3;7.5.9	Put;Put down	1	LUK 12:46!28
θαλάσσης	unknown	no	1J	1.3.1	Bodies of water	1	LUK 21:25!19
θαλάσσῃ	unknown	no	1J	1.3.1	Bodies of water	1	LUK 17:6!21
θανάτου	unknown	no	23G	2.6;2.6.6	Die;Life	5	LUK 1:79!7; LUK 23:15!13; LUK 23:22!14; LUK 24:20!13; LUK 9:27!14
θανατώσουσιν	unknown	no	20D	2.6.6.1	Kill	1	LUK 21:16!13
θαυμάζοντες	unknown	no	25T	3.4.1.3	Surprise	1	LUK 2:33!9
θαυμάζων	unknown	no	25T	3.4.1.3	Surprise	1	LUK 24:12!19
θαυμάσαντες	unknown	no	25T	3.4.1.3	Surprise	1	LUK 20:26!11
θαυμαζόντων	unknown	no	25T	3.4.1.3	Surprise	2	LUK 24:41!9; LUK 9:43!11
θεάσασθαι	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	1	LUK 7:24!18
θελήματι	unknown	no	25A	3.3	Want	1	LUK 23:25!18
θελήσαντάς	unknown	no	25A	3.3	Want	1	LUK 19:27!8
θελόντων	unknown	no	25J	3.4.1.2	Happy	1	LUK 20:46!6
θεμέλιον	foundation stone	yes	7C	6.5.2	Parts of a building	2	LUK 14:29!5; LUK 6:48!12
θεμελίου	unknown	no	7C	6.5.2	Parts of a building	1	LUK 6:49!16
θεοῦ	unknown	no	12A	4.9.2	Supernatural being	72	LUK 10:11!24; LUK 10:9!16; LUK 11:20!16; LUK 11:20!5; LUK 11:28!11; LUK 11:42!24; LUK 11:49!7; LUK 12:6!16; LUK 12:8!25; LUK 12:9!13; LUK 13:18!9; LUK 13:20!9; LUK 13:28!25; LUK 13:29!18; LUK 14:15!17; LUK 15:10!10; LUK 16:15!27; LUK 16:16!13; LUK 17:20!11; LUK 17:20!21; LUK 17:21!12; LUK 18:16!24; LUK 18:17!11; LUK 18:24!17; LUK 18:25!15; LUK 18:29!26; LUK 19:11!23; LUK 1:19!14; LUK 1:26!13; LUK 1:35!24; LUK 1:37!6; LUK 1:6!7; LUK 1:78!4; LUK 1:8!15; LUK 20:21!22; LUK 20:25!14; LUK 20:36!12; LUK 21:31!15; LUK 22:16!16; LUK 22:18!20; LUK 22:69!16; LUK 22:70!10; LUK 23:35!22; LUK 23:51!21; LUK 24:19!25; LUK 2:40!11; LUK 3:2!8; LUK 3:38!8; LUK 3:6!8; LUK 4:3!10; LUK 4:34!18; LUK 4:41!16; LUK 4:43!17; LUK 4:9!20; LUK 5:1!14; LUK 6:12!20; LUK 6:20!21; LUK 6:4!7; LUK 7:28!17; LUK 7:30!10; LUK 8:1!19; LUK 8:10!12; LUK 8:11!12; LUK 8:21!18; LUK 8:28!19; LUK 9:11!16; LUK 9:2!8; LUK 9:20!17; LUK 9:27!21; LUK 9:43!8; LUK 9:60!18; LUK 9:62!21
θεράπευσον	unknown	no	23H	2.5	Healthy	1	LUK 4:23!12
θερίζεις	unknown	no	43	6.2	Agriculture	1	LUK 19:21!13
θερίζουσιν	unknown	no	43	6.2	Agriculture	1	LUK 12:24!8
θερίζων	unknown	no	43	6.2	Agriculture	1	LUK 19:22!22
θεραπείας	unknown	no	23H	2.5	Healthy	1	LUK 9:11!21
θεραπείας	unknown	no	46	5	Daily life	1	LUK 12:42!19
θεραπευθῆναι	unknown	no	23H	2.5	Healthy	1	LUK 8:43!20
θεραπεύει	unknown	no	23H	2.5	Healthy	1	LUK 6:7!12
θεραπεύειν	unknown	no	23H	2.5	Healthy	1	LUK 9:1!16
θεραπεύεσθαι	unknown	no	23H	2.5	Healthy	1	LUK 5:15!14
θεραπεύεσθε	unknown	no	23H	2.5	Healthy	1	LUK 13:14!27
θεραπεύετε	unknown	no	23H	2.5	Healthy	1	LUK 10:9!2
θεραπεύοντες	unknown	no	23H	2.5	Healthy	1	LUK 9:6!9
θεραπεῦσαι	unknown	no	23H	2.5	Healthy	1	LUK 14:3!15
θερισμοῦ	unknown	no	43	6.2	Agriculture	1	LUK 10:2!18
θερισμὸν	unknown	no	43	6.2	Agriculture	1	LUK 10:2!24
θερισμὸς	unknown	no	43	6.2	Agriculture	1	LUK 10:2!7
θεωρήσαντες	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	1	LUK 23:48!10
θεωρίαν	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	1	LUK 23:48!8
θεωρεῖν	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	1	LUK 24:37!8
θεωρεῖτε	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	2	LUK 21:6!3; LUK 24:39!26
θεωροῦντες	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	1	LUK 14:29!12
θεωρῶν	unknown	no	24A	2.3.1;2.5.4;2.5.4.1	Blind;Disabled;See	1	LUK 23:35!5
θεόν	unknown	no	12A	4.9.2	Supernatural being	12	LUK 10:27!8; LUK 13:13!12; LUK 17:15!14; LUK 18:43!9; LUK 1:64!15; LUK 23:40!12; LUK 24:53!10; LUK 4:12!13; LUK 4:8!10; LUK 5:25!17; LUK 5:26!8; LUK 7:29!11
θεός	God	yes	12A	4.9.2	Supernatural being	6	LUK 12:20!5; LUK 18:11!9; LUK 18:13!22; LUK 18:19!16; LUK 5:21!24; LUK 8:39!12
θεὶς	unknown	no	17C	7.1.4	Kneel	1	LUK 22:41!10
θεὸν	unknown	no	12A	4.9.2	Supernatural being	13	LUK 12:21!8; LUK 18:2!9; LUK 18:4!15; LUK 19:37!21; LUK 1:16!10; LUK 20:37!16; LUK 20:37!19; LUK 20:37!22; LUK 23:47!9; LUK 2:13!12; LUK 2:20!9; LUK 2:28!11; LUK 7:16!8
θεὸς	God	yes	12A	4.9.2	Supernatural being	9	LUK 12:24!17; LUK 12:28!15; LUK 16:15!14; LUK 18:7!3; LUK 1:32!13; LUK 1:68!4; LUK 20:38!1; LUK 3:8!23; LUK 7:16!20
θεῖναι	unknown	no	85B	7.3.4.3;7.5.9	Put;Put down	1	LUK 5:18!16
θεῖον	unknown	no	2E	1.2.2.1;1.2.2.2	Rock;Soil, dirt	1	LUK 17:29!11
θεῷ	unknown	no	12A	4.9.2	Supernatural being	10	LUK 16:13!25; LUK 17:18!7; LUK 18:27!11; LUK 18:43!18; LUK 1:30!14; LUK 1:47!8; LUK 20:25!16; LUK 2:14!4; LUK 2:38!8; LUK 2:52!10
θηλαζούσαις	unknown	no	23A	5.2.2	Eat	1	LUK 21:23!8
θηρεῦσαί	unknown	no	27C	4.7.5.1	Investigate a crime	1	LUK 11:54!3
θησαυρίζων	unknown	no	65A	8.3.7.9	Value	1	LUK 12:21!3
θησαυροῦ	unknown	no	7C	6.5.2	Parts of a building	1	LUK 6:45!7
θησαυρὸν	unknown	no	65A	8.3.7.9	Value	2	LUK 12:33!13; LUK 18:22!20
θησαυρὸς	treasure, wealth, riches	yes	65A	8.3.7.9	Value	1	LUK 12:34!5
θορυβάζῃ	unknown	no	25U	3.4.2.4.1	Worried	1	LUK 10:41!11
θριξὶν	unknown	no	8B	2.1	Body	2	LUK 7:38!18; LUK 7:44!34
θρόμβοι	unknown	no	8B	2.1	Body	1	LUK 22:44!13
θρόνον	unknown	no	37D	4.6;4.6.4	Government;Rule	1	LUK 1:32!15
θρόνων	unknown	no	37D	4.6;4.6.4	Government;Rule	2	LUK 1:52!4; LUK 22:30!16
θρὶξ	unknown	no	8B	2.1	Body	1	LUK 21:18!2
