Greek_Word	SemDom	SemDom_Name	Total_Unique_References	Refs
Εἶπαν	3.5.1	Say	1	LUK 18:26!1
Εἶπεν	3.5.1	Say	12	LUK 12:13!1; LUK 12:22!1; LUK 12:41!1; LUK 15:11!1; LUK 17:1!1; LUK 17:22!1; LUK 18:28!1; LUK 18:9!1; LUK 20:41!1; LUK 20:42!8; LUK 24:44!1; LUK 6:39!1
Εἷς	8.1.1.1	Cardinal numbers	1	LUK 23:39!1
Εὐθέως	8.4.5	Relative time	1	LUK 17:7!17
Εὐκοπώτερον	4.4.2	Trouble	1	LUK 16:17!1
Εὐλογημένη	4.3.4	Do good to	1	LUK 1:42!7
Εὐλογημένος	4.9.4.3;4.9.4.4	Bless;Curse	2	LUK 13:35!18; LUK 19:38!2
Εὐλογητὸς	3.5.1.7	Praise	1	LUK 1:68!1
Εὖγε	8.3.7	Good	1	LUK 19:17!4
Ζακχαῖε	9.7.1	Name of a person	1	LUK 19:5!13
Ζακχαῖος	9.7.1	Name of a person	2	LUK 19:2!6; LUK 19:8!3
Ζαχαρία	9.7.1	Name of a person	1	LUK 1:13!9
Ζαχαρίαν	9.7.1	Name of a person	2	LUK 1:21!7; LUK 1:59!21
Ζαχαρίας	9.7.1	Name of a person	4	LUK 1:12!3; LUK 1:18!3; LUK 1:5!12; LUK 1:67!2
Ζαχαρίου	9.7.1	Name of a person	3	LUK 11:51!6; LUK 1:40!6; LUK 3:2!12
Ζεβεδαίου	9.7.1	Name of a person	1	LUK 5:10!8
Ζεύγη	8.1.1.5	Numbered group	1	LUK 14:19!4
Ζηλωτὴν	4.6.6.5	Politics	1	LUK 6:15!12
Ζοροβαβὲλ	9.7.1	Name of a person	1	LUK 3:27!6
Ηὐλήσαμεν	4.2.3.5	Musical instrument	1	LUK 7:32!13
Θάρα	9.7.1	Name of a person	1	LUK 3:34!8
Θέλω	3.3.1.4	Intend	1	LUK 5:13!8
Θέσθε	2.3.2;3.2.6.3	Hear;Memorize	1	LUK 9:44!1
Θεόφιλε	9.7.1	Name of a person	1	LUK 1:3!11
Θυγάτηρ	9.7.1	Name of a person	1	LUK 8:48!5
Θυγατέρες	4.6.6.5	Politics	1	LUK 23:28!8
Θωμᾶν	9.7.1	Name of a person	1	LUK 6:15!4
Κάθου	7.1.2	Sit	1	LUK 20:42!13
Καί	9.6.3.1	Markers of transition	1	LUK 21:5!1
Καίσαρι	4.6;4.6.4;9.7.1	Government;Rule;Name of a person	1	LUK 23:2!15
Καίσαρι	9.7.1	Name of a person	2	LUK 20:22!3; LUK 20:25!10
Καίσαρος	4.6;4.6.4;9.7.1	Government;Rule;Name of a person	2	LUK 2:1!10; LUK 3:1!8
Καίσαρος	9.7.1	Name of a person	2	LUK 20:24!12; LUK 20:25!9
Καλύψατε	7.3.7	Cover	1	LUK 23:30!12
Καλὸν	8.3.7	Good	1	LUK 14:34!1
Κατακλίνατε	7.1.3	Lie down	1	LUK 9:14!12
Καφαρναούμ	9.7.2	Name of a place	2	LUK 10:15!3; LUK 7:1!14
Καφαρναοὺμ	9.7.2	Name of a place	2	LUK 4:23!19; LUK 4:31!4
Καϊάφα	9.7.1	Name of a person	1	LUK 3:2!5
Καϊνὰμ	9.7.1	Name of a person	2	LUK 3:36!2; LUK 3:37!10
Καύσων	5.5.4	Burn	1	LUK 12:55!7
Καὶ	8.4.5.2.1	After	8	LUK 10:23!1; LUK 13:20!1; LUK 19:29!1; LUK 1:59!1; LUK 20:34!1; LUK 3:10!1; LUK 4:5!1; LUK 5:29!1
Καὶ	9.6.1;9.6.1.1	And, also;Coordinate relations	7	LUK 11:46!4; LUK 19:19!5; LUK 22:56!14; LUK 22:58!8; LUK 2:52!1; LUK 4:43!7; LUK 6:32!1
Καὶ	9.6.3.1	Markers of transition	58	LUK 10:25!1; LUK 11:1!1; LUK 11:14!1; LUK 11:5!1; LUK 13:22!1; LUK 14:1!1; LUK 17:11!1; LUK 17:5!1; LUK 18:18!1; LUK 19:1!1; LUK 19:28!1; LUK 19:41!1; LUK 19:45!1; LUK 19:47!1; LUK 1:21!1; LUK 1:46!1; LUK 1:67!1; LUK 20:1!1; LUK 20:20!1; LUK 21:25!1; LUK 21:29!1; LUK 22:14!1; LUK 22:35!1; LUK 22:39!1; LUK 22:63!1; LUK 22:66!1; LUK 23:1!1; LUK 23:26!1; LUK 23:44!1; LUK 23:50!1; LUK 23:56!7; LUK 24:13!1; LUK 24:28!1; LUK 2:15!1; LUK 2:21!1; LUK 2:22!1; LUK 2:25!1; LUK 2:36!1; LUK 2:39!1; LUK 2:41!1; LUK 2:8!1; LUK 3:23!1; LUK 4:14!1; LUK 4:16!1; LUK 4:31!1; LUK 5:12!1; LUK 5:17!1; LUK 5:27!1; LUK 6:17!1; LUK 6:20!1; LUK 6:37!1; LUK 7:11!1; LUK 7:18!1; LUK 8:1!1; LUK 8:26!1; LUK 9:10!1; LUK 9:18!1; LUK 9:57!1
Καὶ	9.6.3.2	Markers of emphasis	3	LUK 10:29!10; LUK 18:26!5; LUK 19:46!4
Κλεοπᾶς	9.7.1	Name of a person	1	LUK 24:18!5
Κρανίον	2.1	Body	1	LUK 23:33!9
Κριτής	4.7.6	Judge, render a verdict	1	LUK 18:2!2
Κυρηνίου	9.7.1	Name of a person	1	LUK 2:2!8
Κυρηναῖον	9.7.2	Name of a place	1	LUK 23:26!8
Κωσὰμ	9.7.1	Name of a person	1	LUK 3:28!6
Κύριε	4.9.2	Supernatural being	11	LUK 10:17!9; LUK 10:40!11; LUK 11:1!20; LUK 12:41!5; LUK 13:23!5; LUK 18:41!8; LUK 22:33!5; LUK 22:38!4; LUK 22:49!9; LUK 6:46!5; LUK 9:54!9
Κύριε	4.9.2;4.5.6.1	Supernatural being;High status	2	LUK 5:12!26; LUK 7:6!22
Κύριε	6.8.1	Have wealth	5	LUK 13:8!6; LUK 14:22!5; LUK 19:16!6; LUK 19:20!6; LUK 19:25!4
Κύριε	4.5.6.1	High status	2	LUK 13:25!20; LUK 9:59!10
Κύριον	4.9.2	Supernatural being	1	LUK 4:8!8
Κύριός	4.6;4.6.4	Government;Rule	1	LUK 6:5!4
Κἀγὼ	9.6.1;9.6.1.1;9.2;9.2.3	And, also;Coordinate relations;Part of speech;Pronouns	1	LUK 11:9!1
Κἀκεῖθεν	7.3.4.7	Extend	1	LUK 11:53!1
Λάβετε	7.3.4.4	Hold	1	LUK 22:17!6
Λάζαρον	9.7.1	Name of a person	2	LUK 16:23!17; LUK 16:24!11
Λάζαρος	9.7.1	Name of a person	2	LUK 16:20!5; LUK 16:25!16
Λάμεχ	9.7.1	Name of a person	1	LUK 3:36!10
Λέγει	3.5.1	Say	1	LUK 22:11!7
Λέγω	3.5.1	Say	5	LUK 12:4!1; LUK 12:8!1; LUK 19:40!4; LUK 22:34!4; LUK 7:9!15
Λίθον	1.2.2.1;1.2.2.2	Rock;Soil, dirt	1	LUK 20:17!12
Λεγιών	9.7.1	Name of a person	1	LUK 8:30!13
Λευίτης	4.9.7.1	Religious person	1	LUK 10:32!4
Λευὶ	9.7.1	Name of a person	2	LUK 3:24!4; LUK 3:29!10
Λευὶν	9.7.1	Name of a person	1	LUK 5:27!9
Λευὶς	9.7.1	Name of a person	1	LUK 5:29!5
Λυσανίου	9.7.1	Name of a person	1	LUK 3:1!31
Λώτ	9.7.1	Name of a person	2	LUK 17:28!7; LUK 17:32!4
Λὼτ	9.7.1	Name of a person	1	LUK 17:29!5
Μάαθ	9.7.1	Name of a person	1	LUK 3:26!2
Μάρθα	9.7.1	Name of a person	4	LUK 10:38!15; LUK 10:40!3; LUK 10:41!7; LUK 10:41!8
Μή	9.4.6.1	No, not	1	LUK 11:7!5
Μήτηρ	4.1.9.1	Related by birth	1	LUK 8:21!7
Μήτι	9.4.6.3	Markers expecting a negative answer	1	LUK 6:39!6
Μαγδαληνή	9.7.1	Name of a person	1	LUK 8:2!15
Μαγδαληνὴ	9.7.1	Name of a person	1	LUK 24:10!4
Μαθθαῖον	9.7.1	Name of a person	1	LUK 6:15!2
Μαθθὰτ	9.7.1	Name of a person	2	LUK 3:24!2; LUK 3:29!8
Μαθουσαλὰ	9.7.1	Name of a person	1	LUK 3:37!2
Μακάριαι	3.4.1.2	Happy	1	LUK 23:29!8
Μακάριοί	3.4.1.2	Happy	1	LUK 6:22!1
Μακάριοι	3.4.1.2	Happy	2	LUK 10:23!9; LUK 6:20!12
Μακάριος	3.4.1.2	Happy	1	LUK 14:15!9
Μακαρία	3.4.1.2	Happy	1	LUK 11:27!17
Μαλελεὴλ	9.7.1	Name of a person	1	LUK 3:37!8
Μαρία	9.7.1	Name of a person	4	LUK 24:10!5; LUK 24:10!9; LUK 2:19!3; LUK 8:2!12
Μαρίας	9.7.1	Name of a person	1	LUK 1:41!8
Μαριάμ	9.7.1	Name of a person	5	LUK 10:39!6; LUK 1:27!16; LUK 1:30!8; LUK 1:38!3; LUK 1:46!3
Μαριὰμ	9.7.1	Name of a person	7	LUK 10:42!7; LUK 1:34!3; LUK 1:39!3; LUK 1:56!3; LUK 2:16!8; LUK 2:34!8; LUK 2:5!3
Ματταθίου	9.7.1	Name of a person	2	LUK 3:25!2; LUK 3:26!4
Ματταθὰ	9.7.1	Name of a person	1	LUK 3:31!6
Μεγαλύνει	3.5.1.7	Praise	1	LUK 1:46!4
Μελεὰ	9.7.1	Name of a person	1	LUK 3:31!2
Μελχὶ	9.7.1	Name of a person	2	LUK 3:24!6; LUK 3:28!2
Μεννὰ	9.7.1	Name of a person	1	LUK 3:31!4
Μενοῦν	9.6.2.6;9.6.2.6.1;9.6.1.5;9.6.3.2	Result;Without result;But;Markers of emphasis	1	LUK 11:28!4
Μετανοῶ	4.3.8;4.8.4.6	Change behavior;Repent	1	LUK 17:4!15
Μετὰ	8.4.5	Relative time	2	LUK 10:1!1; LUK 1:24!1
Μεῖνον	7.2.7.2	Stay, remain	1	LUK 24:29!5
Μηδένα	9.2;9.2.3	Part of speech;Pronouns	1	LUK 3:14!14
Μηδὲν	9.2;9.2.3	Part of speech;Pronouns	2	LUK 3:13!6; LUK 9:3!5
Μωϋσέα	9.7.1	Name of a person	1	LUK 16:29!5
Μωϋσέως	9.7.1	Name of a person	4	LUK 16:31!5; LUK 24:27!4; LUK 24:44!26; LUK 2:22!12
Μωϋσεῖ	9.7.1	Name of a person	1	LUK 9:33!29
Μωϋσῆς	9.7.1	Name of a person	4	LUK 20:28!3; LUK 20:37!7; LUK 5:14!21; LUK 9:30!9
Μὴ	9.4.6.1	No, not	15	LUK 12:32!1; LUK 18:20!10; LUK 18:20!4; LUK 18:20!6; LUK 18:20!8; LUK 1:13!7; LUK 1:30!6; LUK 20:16!15; LUK 2:10!6; LUK 5:10!21; LUK 5:34!6; LUK 7:13!12; LUK 8:50!7; LUK 8:52!10; LUK 9:50!7
Ναΐν	9.7.2	Name of a place	1	LUK 7:11!10
Ναασσὼν	9.7.1	Name of a person	1	LUK 3:32!10
Ναγγαὶ	9.7.1	Name of a person	1	LUK 3:25!10
Ναζαρά	9.7.2	Name of a place	1	LUK 4:16!4
Ναζαρέθ	9.7.2	Name of a place	1	LUK 2:39!17
Ναζαρηνέ	9.7.2	Name of a place	1	LUK 4:34!7
Ναζαρηνοῦ	9.7.2	Name of a place	1	LUK 24:19!13
Ναζαρὲθ	9.7.2	Name of a place	3	LUK 1:26!20; LUK 2:4!10; LUK 2:51!8
Ναζωραῖος	9.7.2	Name of a place	1	LUK 18:37!7
Ναθὰμ	9.7.1	Name of a person	1	LUK 3:31!8
Ναιμὰν	9.7.1	Name of a person	1	LUK 4:27!18
Ναοὺμ	9.7.1	Name of a person	1	LUK 3:25!6
Ναχὼρ	9.7.1	Name of a person	1	LUK 3:34!10
Νεανίσκε	1.6.7;2.6.5.1	Male and female animals;Man	1	LUK 7:14!12
Νηρὶ	9.7.1	Name of a person	1	LUK 3:27!10
Νινευίταις	9.7.2	Name of a place	1	LUK 11:30!6
Νινευῖται	9.7.2	Name of a place	1	LUK 11:32!2
Νῦν	8.4.5	Relative time	2	LUK 11:39!7; LUK 2:29!1
Νῶε	9.7.1	Name of a person	3	LUK 17:26!7; LUK 17:27!9; LUK 3:36!8
Οἱ	9.2;9.2.3	Part of speech;Pronouns	4	LUK 20:34!6; LUK 22:25!5; LUK 5:33!1; LUK 5:33!6
Οὐ	9.4.6.1	No, not	3	LUK 19:14!13; LUK 5:31!8; LUK 6:43!1
Οὐαί	4.4.2	Trouble	1	LUK 10:13!1
Οὐαὶ	4.4.2	Trouble	1	LUK 6:26!1
Οὐδείς	9.2;9.2.3	Part of speech;Pronouns	1	LUK 1:61!6
Οὐδεὶς	9.2;9.2.3	Part of speech;Pronouns	4	LUK 11:33!1; LUK 5:36!8; LUK 8:16!1; LUK 9:62!5
Οὐδὲ	9.4.6.1	No, not	3	LUK 20:8!6; LUK 23:40!8; LUK 6:3!8
Οὐδὲν	9.2;9.2.3	Part of speech;Pronouns	1	LUK 23:4!11
Οὐθενός	9.2;9.2.3	Part of speech;Pronouns	1	LUK 22:35!19
Οὐκ	9.4.6.1	No, not	7	LUK 13:25!27; LUK 13:27!5; LUK 17:20!16; LUK 22:57!5; LUK 4:12!9; LUK 4:4!9; LUK 9:13!12
Οὐχί	9.4.6.1	No, not	2	LUK 16:30!4; LUK 1:60!7
Οὐχὶ	9.4.6.2	Markers expecting an affirmative answer	3	LUK 23:39!9; LUK 24:32!5; LUK 4:22!20
Οὕτως	8.4.5.1	Order, sequence	1	LUK 1:25!2
Οὗτοι	9.2.3.5	Demonstrative pronouns	1	LUK 24:44!5
Οὗτος	9.2.3.5	Demonstrative pronouns	3	LUK 14:30!3; LUK 15:2!11; LUK 7:39!12
Οὗτός	9.2.3.5	Demonstrative pronouns	2	LUK 20:14!10; LUK 9:35!8
Πάντων	8.1.5	All	1	LUK 9:43!9
Πάντως	9.4.4.1;9.4.4.5;9.6.3.2	Certainly, definitely;Uncertain;Markers of emphasis	1	LUK 4:23!5
Πάσχα	4.2.2;4.2.2.1;4.2.2.2;4.2.2.3	Celebrate;Ceremony;Festival, show;Social event	1	LUK 22:1!9
Πάτερ	4.1.9.1	Related by birth	4	LUK 15:12!8; LUK 15:18!10; LUK 15:21!6; LUK 16:24!5
Πάτερ	4.9.2	Supernatural being	4	LUK 11:2!7; LUK 22:42!2; LUK 23:34!5; LUK 23:46!8
Πέσετε	7.2.2.5.1	Fall	1	LUK 23:30!6
Πέτρε	9.7.1	Name of a person	1	LUK 22:34!6
Πέτρον	9.7.1	Name of a person	4	LUK 22:8!3; LUK 6:14!5; LUK 8:51!14; LUK 9:28!12
Πέτρος	9.7.1	Name of a person	13	LUK 12:41!4; LUK 18:28!4; LUK 22:54!14; LUK 22:55!12; LUK 22:58!15; LUK 22:60!4; LUK 22:61!11; LUK 24:12!3; LUK 5:8!4; LUK 8:45!14; LUK 9:20!10; LUK 9:32!3; LUK 9:33!11
Πέτρῳ	9.7.1	Name of a person	1	LUK 22:61!7
Παραλαβὼν	7.3.3	Take somewhere	1	LUK 18:31!1
Παρεγένετο	7.2.3.3.1	Arrive	1	LUK 8:19!1
Παρὰ	4;4.1	Relationships;Social behavior	1	LUK 19:7!7
Παρῆσαν	8.5.3	Be at a place	1	LUK 13:1!1
Πατέρα	4.1.9.1	Related by birth	1	LUK 3:8!13
Πιλάτου	9.7.1	Name of a person	1	LUK 3:1!11
Πιλάτῳ	9.7.1	Name of a person	2	LUK 23:11!19; LUK 23:52!4
Πιλᾶτον	9.7.1	Name of a person	1	LUK 23:1!11
Πιλᾶτος	9.7.1	Name of a person	8	LUK 13:1!16; LUK 23:12!9; LUK 23:13!1; LUK 23:20!4; LUK 23:24!2; LUK 23:3!3; LUK 23:4!3; LUK 23:6!1
Πνεῦμα	4.9.2	Supernatural being	2	LUK 1:35!7; LUK 4:18!1
Ποίησον	9.1.2	Do	1	LUK 7:8!28
Πολλὰ	8.1.3;8.1.3.1	Many, much;Plural	1	LUK 3:18!1
Ποντίου	9.7.1	Name of a person	1	LUK 3:1!10
Πορευθέντες	7.2.3.3;7.3.3.3	Leave;Send	4	LUK 13:32!4; LUK 17:14!5; LUK 22:8!7; LUK 7:22!5
Πορεύθητι	7.2.3.3;7.3.3.3	Leave;Send	1	LUK 7:8!16
Πορεύου	7.2.3.3;7.3.3.3	Leave;Send	1	LUK 10:37!15
Ποῖα	9.2.3.5	Demonstrative pronouns	1	LUK 24:19!4
Ποῦ	8.5	Location	4	LUK 17:37!5; LUK 22:11!11; LUK 22:9!5; LUK 8:25!4
Πραγματεύσασθε	6.8.2.7	Earn	1	LUK 19:13!14
Προσέφερον	7.3.3	Take somewhere	1	LUK 18:15!1
Προσέχετε	3.1.2;3.1.2.1;3.1.2.3	Alert;Attention;Mental state	3	LUK 12:1!18; LUK 20:46!1; LUK 21:34!1
Προσδοκῶντος	3.2.7	Expect	1	LUK 3:15!1
Προσελθόντες	7.2.3	Move toward something	1	LUK 20:27!1
Προσεύχεσθε	4.9.5.2	Pray	1	LUK 22:40!8
Προσηνέγκατέ	7.3.3	Take somewhere	1	LUK 23:14!4
Προφήτευσον	4.9.4.6	Prophecy	1	LUK 22:64!6
Προφήτης	4.9.7.1	Religious person	1	LUK 7:16!11
Πρόσθες	8.1.2;8.1.2.2	Add numbers;Count	1	LUK 17:5!7
Πρὶν	8.4.5	Relative time	1	LUK 22:61!20
Πρὸ	8.4.5	Relative time	1	LUK 21:12!1
Πόσοι	8.1.3;8.1.3.1	Many, much;Plural	1	LUK 15:17!6
Πόσον	8.1.3;8.1.3.1;8.1.3.2	Few, little;Many, much;Plural	1	LUK 16:5!13
Πᾶν	8.1.5	All	1	LUK 2:23!7
Πᾶς	8.1.5	All	1	LUK 16:18!1
Πᾶσα	8.1.5	All	1	LUK 11:17!9
Πῦρ	4.1.6	Disunity	1	LUK 12:49!1
Πῶς	9.2;9.2.3	Part of speech;Pronouns	3	LUK 18:24!7; LUK 1:34!7; LUK 20:41!5
Σάρεπτα	9.7.2	Name of a place	1	LUK 4:26!10
Σήμερον	8.4.1.2;8.4.1.2.2	Day;Yesterday, today, tomorrow	2	LUK 19:9!8; LUK 4:21!7
Σίμων	9.7.1	Name of a person	6	LUK 22:31!1; LUK 22:31!2; LUK 5:5!3; LUK 5:8!3; LUK 7:40!8; LUK 7:43!2
Σίμωνά	9.7.1	Name of a person	1	LUK 23:26!6
Σίμωνα	9.7.1	Name of a person	4	LUK 5:10!18; LUK 5:4!8; LUK 6:14!1; LUK 6:15!9
Σίμωνι	9.7.1	Name of a person	3	LUK 24:34!9; LUK 5:10!13; LUK 7:44!7
Σίμωνος	9.7.1	Name of a person	3	LUK 4:38!10; LUK 4:38!14; LUK 5:3!9
Σαδδουκαίων	4.9.7	Religious organization	1	LUK 20:27!5
Σαλαθιὴλ	9.7.1	Name of a person	1	LUK 3:27!8
Σαλὰ	9.7.1	Name of a person	2	LUK 3:32!8; LUK 3:35!10
Σαμαρίτης	9.7.2	Name of a place	2	LUK 10:33!1; LUK 17:16!14
Σαμαρείας	9.7.2	Name of a place	1	LUK 17:11!13
Σαμαριτῶν	9.7.2	Name of a place	1	LUK 9:52!12
Σατανᾶν	4.9.2;9.7.1	Supernatural being;Name of a person	1	LUK 10:18!6
Σατανᾶς	4.9.2;9.7.1	Supernatural being;Name of a person	4	LUK 11:18!5; LUK 13:16!9; LUK 22:3!3; LUK 22:31!5
Σεμεῒν	9.7.1	Name of a person	1	LUK 3:26!6
Σεροὺχ	9.7.1	Name of a person	1	LUK 3:35!2
Σιδωνίας	9.7.2	Name of a place	1	LUK 4:26!12
Σιδῶνι	9.7.2	Name of a place	2	LUK 10:13!12; LUK 10:14!4
Σιδῶνος	9.7.2	Name of a place	1	LUK 6:17!30
Σιλωὰμ	9.7.2	Name of a place	1	LUK 13:4!12
Σοδόμοις	9.7.2	Name of a place	1	LUK 10:12!4
Σοδόμων	9.7.2	Name of a place	1	LUK 17:29!7
Σολομὼν	9.7.1	Name of a person	1	LUK 12:27!14
Σολομῶνος	9.7.1	Name of a person	2	LUK 11:31!26; LUK 11:31!30
Σουσάννα	9.7.1	Name of a person	1	LUK 8:3!8
Σοὶ	9.2;9.2.3	Part of speech;Pronouns	2	LUK 4:6!6; LUK 5:24!19
Σταύρου	2.6.6.1	Kill	1	LUK 23:21!5
Συγκαλεσάμενος	3.5.1.4.1;3.5.1.4.2	Call;Contact	1	LUK 9:1!1
Συγχάρητέ	3.4.1.2	Happy	2	LUK 15:6!14; LUK 15:9!9
Συκῆν	1.5.1	Tree	1	LUK 13:6!6
Συλλαβόντες	4.6.6;4.6.6.1;4.6.6.1.1;7.2.6.1	Arrest;Catch, capture;Government functions;Police	1	LUK 22:54!1
Συμεών	9.7.1	Name of a person	1	LUK 2:25!9
Συμεὼν	9.7.1	Name of a person	2	LUK 2:34!4; LUK 3:30!2
Συνεπορεύοντο	7.2.5;7.2.5.3	Accompany;Guide	1	LUK 14:25!1
Συνιόντος	7.5.1	Gather	1	LUK 8:4!1
Συρίας	9.7.2	Name of a place	1	LUK 2:2!7
Σύρος	9.7.2	Name of a place	1	LUK 4:27!20
Σὴθ	9.7.1	Name of a person	1	LUK 3:38!4
Σὴμ	9.7.1	Name of a person	1	LUK 3:36!6
Σὺ	9.2;9.2.3	Part of speech;Pronouns	9	LUK 16:7!4; LUK 22:70!4; LUK 23:3!18; LUK 23:3!7; LUK 24:18!9; LUK 3:22!18; LUK 4:41!11; LUK 7:19!6; LUK 7:20!16
Τέθνηκεν	2.6;2.6.6	Die;Life	1	LUK 8:49!11
Τέκνον	4.1.9.1	Related by birth	3	LUK 15:31!5; LUK 16:25!4; LUK 2:48!12
Τί	9.2;9.2.3	Part of speech;Pronouns	23	LUK 12:17!6; LUK 12:57!1; LUK 16:2!6; LUK 16:3!7; LUK 18:19!6; LUK 18:41!1; LUK 19:33!12; LUK 1:66!11; LUK 20:13!7; LUK 20:17!6; LUK 22:46!4; LUK 22:71!4; LUK 23:22!7; LUK 24:38!4; LUK 24:5!15; LUK 2:49!5; LUK 3:10!7; LUK 3:14!7; LUK 5:22!12; LUK 6:2!6; LUK 6:46!1; LUK 7:24!13; LUK 8:30!6
Τίμα	4.5.5	Honor	1	LUK 18:20!12
Τίνα	9.2;9.2.3	Part of speech;Pronouns	1	LUK 9:18!18
Τίνες	9.2;9.2.3	Part of speech;Pronouns	1	LUK 24:17!5
Τίνι	9.2;9.2.3	Part of speech;Pronouns	3	LUK 13:18!3; LUK 13:20!4; LUK 7:31!1
Τίνος	9.2;9.2.3	Part of speech;Pronouns	1	LUK 14:5!5
Τίς	9.2;9.2.3	Part of speech;Pronouns	9	LUK 11:5!5; LUK 12:42!5; LUK 15:4!1; LUK 17:7!1; LUK 4:36!11; LUK 5:21!10; LUK 7:49!8; LUK 8:25!14; LUK 8:45!5
Ταχὺ	8.4.2	Take time	1	LUK 15:22!9
